                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3574,                 30.218,                 4.8126,                0.60047,                0.17552,                0.31839,                0.15907,                 2.7916,                 2.8566,                 3.4865,              0.0002358,              0.0002358,              0.0002358
                      2,                 1.3302,                 2.1759,                 2.0326,                0.80798,                0.76517,                0.83221,                0.60223,                 1.7753,                  1.455,                 2.2624,             0.00045816,             0.00045816,             0.00045816
                      3,                 1.0496,                 1.3421,                  1.798,                0.90581,                 0.8261,                0.89166,                0.69564,                 1.5411,                 1.0823,                 1.9444,             0.00066482,             0.00066482,             0.00066482
                      4,                0.99376,                 1.0864,                 1.6391,                0.91282,                 0.8532,                0.90093,                0.73264,                 1.3915,                 1.1258,                 1.6975,             0.00064331,             0.00064331,             0.00064331
                      5,                0.86447,                0.91758,                 1.5409,                0.94042,                0.87908,                0.90834,                0.75403,                  1.387,                0.90787,                 1.6732,             0.00061975,             0.00061975,             0.00061975
                      6,                0.80507,                0.79709,                 1.4806,                0.93731,                0.88492,                0.91229,                0.78021,                 1.2705,                0.91484,                 1.5366,             0.00059619,             0.00059619,             0.00059619
                      7,                0.76408,                0.81931,                 1.4231,                0.94692,                0.87155,                0.91809,                0.79008,                 1.2383,                0.82084,                 1.4395,             0.00057263,             0.00057263,             0.00057263
                      8,                 0.7068,                0.73857,                 1.3357,                0.93128,                0.88922,                0.92115,                0.80142,                 1.1811,                0.83185,                  1.349,             0.00054907,             0.00054907,             0.00054907
                      9,                0.68693,                0.66298,                 1.3161,                0.95919,                0.88474,                0.92313,                0.81417,                 1.1854,                0.76519,                 1.3586,              0.0005255,              0.0005255,              0.0005255
                     10,                0.67178,                0.66815,                 1.2778,                0.95603,                0.87611,                0.92702,                0.82448,                 1.1301,                0.76867,                 1.2391,             0.00050194,             0.00050194,             0.00050194
                     11,                0.63319,                0.63453,                 1.2439,                0.96132,                0.88519,                0.92658,                0.82915,                 1.1072,                0.77026,                 1.2116,             0.00047838,             0.00047838,             0.00047838
                     12,                0.65671,                 0.6429,                 1.2541,                0.95989,                0.88685,                0.92377,                0.81866,                 1.1335,                0.72905,                 1.2491,             0.00045482,             0.00045482,             0.00045482
                     13,                0.64803,                0.63709,                 1.2365,                 0.9642,                0.89817,                0.93075,                 0.8424,                 1.1062,                0.66636,                 1.2163,             0.00043126,             0.00043126,             0.00043126
                     14,                0.60907,                0.56555,                 1.2205,                 0.9555,                0.90286,                0.93099,                0.83898,                 1.1013,                0.67298,                 1.1574,             0.00040769,             0.00040769,             0.00040769
                     15,                0.60202,                0.57551,                 1.1757,                0.95313,                0.89864,                0.92798,                0.84749,                 1.0529,                0.70418,                 1.1162,             0.00038413,             0.00038413,             0.00038413
                     16,                0.56032,                0.57483,                 1.1613,                0.97055,                0.89745,                0.93479,                0.85758,                 1.0508,                0.66508,                  1.108,             0.00036057,             0.00036057,             0.00036057
                     17,                0.57632,                 0.5358,                 1.1568,                0.96457,                0.90417,                0.93148,                0.85782,                 1.0566,                 0.6517,                 1.1167,             0.00033701,             0.00033701,             0.00033701
                     18,                0.57438,                0.53336,                 1.1539,                 0.9612,                0.91068,                0.93247,                0.86111,                 1.0378,                0.64796,                 1.0895,             0.00031345,             0.00031345,             0.00031345
                     19,                0.54901,                0.53446,                  1.142,                0.96777,                 0.9124,                0.93546,                0.86134,                 1.0406,                 0.6204,                 1.0906,             0.00028988,             0.00028988,             0.00028988
                     20,                0.58208,                0.55417,                 1.1321,                0.96113,                0.91971,                0.93758,                0.86801,                 1.0125,                0.61713,                 1.0325,             0.00026632,             0.00026632,             0.00026632
                     21,                0.58566,                0.42637,                 1.0837,                0.96525,                0.90313,                0.93697,                0.86737,                 1.0179,                0.61482,                 1.0595,             0.00024276,             0.00024276,             0.00024276
                     22,                0.55407,                 0.4186,                 1.0685,                0.97199,                0.90506,                0.93329,                0.86579,                 1.0153,                 0.6286,                 1.0319,              0.0002192,              0.0002192,              0.0002192
                     23,                0.48788,                0.37742,                  1.024,                0.96713,                   0.91,                0.93486,                0.87039,                0.99828,                0.60092,                 1.0218,             0.00019564,             0.00019564,             0.00019564
                     24,                0.57019,                0.41461,                 1.0252,                0.96704,                0.90554,                0.93818,                0.87771,                0.98847,                0.59764,                 1.0068,             0.00017207,             0.00017207,             0.00017207
                     25,                0.53885,                0.41557,                 1.0136,                0.96831,                0.90675,                0.93829,                 0.8767,                 0.9972,                0.60671,                 1.0097,             0.00014851,             0.00014851,             0.00014851
                     26,                0.49085,                0.37436,                0.95643,                0.96831,                  0.909,                0.93808,                0.88004,                0.97977,                0.60134,                0.99433,             0.00012495,             0.00012495,             0.00012495
                     27,                0.48724,                0.38157,                0.97035,                0.97306,                0.91218,                 0.9394,                0.88216,                0.96786,                0.57288,                0.98738,             0.00010139,             0.00010139,             0.00010139
                     28,                0.55992,                0.40809,                0.98295,                0.96542,                0.91236,                0.93811,                0.88041,                 0.9715,                0.56874,                0.97761,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.51258,                0.36352,                 0.9729,                0.96988,                0.91539,                   0.94,                0.88579,                 0.9631,                0.57771,                0.98071,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.46023,                0.34063,                0.94245,                0.96923,                0.91494,                0.94095,                0.88553,                0.95555,                0.57744,                0.97331,             3.0702e-05,             3.0702e-05,             3.0702e-05
