                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94549,                 6.8337,                 1.3667,                0.22577,                0.49481,                0.30573,                0.27086,                 0.6966,                 2.2265,                 1.2338,             0.00023731,             0.00023731,             0.00023731
                      2,                0.87937,                 2.4056,                 1.2603,                0.36197,                0.67189,                0.50362,                0.45257,                0.64981,                 1.7078,                 1.1451,              0.0004659,              0.0004659,              0.0004659
                      3,                0.85865,                  1.898,                 1.2287,                0.48182,                0.61542,                0.64097,                0.56322,                  0.648,                 1.5851,                 1.1475,             0.00068506,             0.00068506,             0.00068506
                      4,                0.86131,                 1.6395,                 1.2306,                 0.5605,                0.62768,                0.66696,                0.59139,                0.61368,                 1.4487,                 1.1456,             0.00067159,             0.00067159,             0.00067159
                      5,                0.82021,                 1.4118,                 1.1949,                0.78293,                0.73925,                0.84709,                0.77725,                0.53654,                0.97099,                 1.0622,             0.00065745,             0.00065745,             0.00065745
                      6,                0.80938,                 1.2147,                  1.171,                0.82736,                0.83755,                0.91382,                0.82529,                0.54765,                0.80286,                 1.0581,             0.00064331,             0.00064331,             0.00064331
                      7,                0.78151,                  1.084,                 1.1497,                0.93161,                0.86302,                0.94742,                0.87746,                0.47865,                0.59459,                 1.0219,             0.00062918,             0.00062918,             0.00062918
                      8,                0.77307,                 1.0285,                   1.15,                0.91999,                0.87434,                 0.9499,                0.87064,                0.52666,                0.62714,                 1.0033,             0.00061504,             0.00061504,             0.00061504
                      9,                0.75438,                0.95549,                 1.1505,                0.95011,                  0.929,                0.98041,                0.89997,                0.48679,                0.45221,                 1.0063,              0.0006009,              0.0006009,              0.0006009
                     10,                0.76824,                0.85572,                 1.1354,                0.92743,                0.96483,                0.98483,                0.91046,                0.47029,                0.42211,                0.97535,             0.00058677,             0.00058677,             0.00058677
                     11,                0.75284,                0.88579,                 1.1505,                0.94771,                0.94594,                0.98686,                0.90459,                0.48553,                0.43249,                 1.0105,             0.00057263,             0.00057263,             0.00057263
                     12,                0.72909,                 0.7859,                 1.0982,                0.96874,                0.95733,                0.99007,                0.91818,                0.44903,                0.39579,                0.97953,             0.00055849,             0.00055849,             0.00055849
                     13,                0.73153,                0.75008,                 1.1136,                0.96396,                 0.9639,                0.98917,                0.92079,                0.43564,                0.35705,                0.94538,             0.00054435,             0.00054435,             0.00054435
                     14,                0.75248,                0.79776,                 1.1207,                0.96332,                0.96214,                0.98738,                0.92346,                0.44481,                0.36795,                0.95888,             0.00053022,             0.00053022,             0.00053022
                     15,                0.74176,                0.77951,                 1.1218,                0.96164,                0.93497,                0.97155,                0.90654,                0.43283,                0.43945,                0.95976,             0.00051608,             0.00051608,             0.00051608
                     16,                 0.7089,                0.71398,                 1.0889,                0.97385,                0.96893,                0.98937,                0.93074,                0.41709,                0.32376,                0.95366,             0.00050194,             0.00050194,             0.00050194
                     17,                0.71241,                0.70762,                 1.0997,                0.97097,                0.96853,                0.98771,                0.92099,                  0.432,                0.32415,                0.94501,              0.0004878,              0.0004878,              0.0004878
                     18,                0.70925,                0.68502,                 1.1005,                0.97549,                0.98101,                0.99196,                 0.9293,                0.42923,                0.30469,                0.94751,             0.00047367,             0.00047367,             0.00047367
                     19,                0.72346,                0.72656,                 1.1003,                0.98304,                0.97697,                0.99243,                0.93675,                0.40113,                 0.2815,                0.92366,             0.00045953,             0.00045953,             0.00045953
                     20,                0.68452,                0.67021,                 1.0746,                0.98443,                0.97865,                 0.9924,                0.94133,                 0.3994,                0.29054,                0.92618,             0.00044539,             0.00044539,             0.00044539
                     21,                0.69741,                0.66493,                 1.0796,                0.98047,                 0.9757,                 0.9926,                0.94378,                0.39103,                0.28497,                0.91062,             0.00043126,             0.00043126,             0.00043126
                     22,                 0.7089,                   0.67,                 1.0878,                 0.9802,                0.97864,                0.99175,                 0.9448,                0.39238,                0.27639,                0.90589,             0.00041712,             0.00041712,             0.00041712
                     23,                0.69702,                0.68045,                 1.0853,                0.96874,                0.98427,                0.99153,                0.94197,                0.38821,                0.28256,                0.90992,             0.00040298,             0.00040298,             0.00040298
                     24,                0.68387,                0.64059,                  1.068,                0.97231,                 0.9769,                0.98998,                0.94348,                0.36643,                0.27178,                0.91087,             0.00038884,             0.00038884,             0.00038884
                     25,                0.69889,                0.65841,                 1.0839,                0.98667,                0.98362,                0.99247,                0.94746,                0.36895,                0.25437,                0.90408,             0.00037471,             0.00037471,             0.00037471
                     26,                0.67125,                0.57861,                 1.0667,                0.98736,                0.99064,                 0.9917,                0.94546,                0.36953,                 0.2374,                0.89987,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.6748,                 0.5971,                 1.0701,                0.98878,                0.98542,                0.99212,                0.95449,                0.35697,                0.24095,                0.88488,             0.00034643,             0.00034643,             0.00034643
                     28,                0.69627,                0.60237,                 1.0733,                0.97435,                0.98205,                0.99098,                0.94985,                 0.3565,                0.24425,                0.88644,              0.0003323,              0.0003323,              0.0003323
                     29,                0.66397,                0.61932,                 1.0543,                0.98249,                0.98515,                  0.993,                 0.9484,                0.36749,                0.24154,                0.89205,             0.00031816,             0.00031816,             0.00031816
                     30,                0.65732,                0.58436,                 1.0568,                0.98568,                0.98687,                0.99118,                0.95103,                 0.3515,                0.23536,                0.88038,             0.00030402,             0.00030402,             0.00030402
                     31,                0.63769,                0.56856,                  1.046,                0.98026,                0.99115,                0.99285,                0.95598,                0.34453,                 0.2233,                0.87714,             0.00028988,             0.00028988,             0.00028988
                     32,                0.64739,                0.58827,                 1.0552,                0.98339,                0.98749,                0.99221,                0.95312,                0.35969,                0.23414,                0.88679,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.6792,                0.58658,                 1.0585,                0.98413,                0.98577,                0.99183,                0.95727,                0.34695,                0.22317,                0.87598,             0.00026161,             0.00026161,             0.00026161
                     34,                0.66539,                0.56556,                  1.053,                0.98239,                0.98842,                0.99282,                0.95903,                0.32635,                0.21668,                0.86574,             0.00024747,             0.00024747,             0.00024747
                     35,                0.64991,                0.57588,                 1.0467,                0.98866,                0.98154,                0.99247,                0.95448,                0.34663,                0.21725,                0.87183,             0.00023334,             0.00023334,             0.00023334
                     36,                0.66807,                0.53624,                 1.0608,                  0.986,                0.98209,                 0.9922,                0.95906,                0.33851,                0.23279,                0.85696,              0.0002192,              0.0002192,              0.0002192
                     37,                0.64345,                0.57058,                 1.0431,                0.98923,                0.98416,                0.99292,                0.95929,                0.32509,                0.20968,                0.85648,             0.00020506,             0.00020506,             0.00020506
                     38,                0.65216,                0.55124,                 1.0413,                0.98961,                0.98769,                0.99315,                0.96104,                0.32552,                0.20872,                 0.8555,             0.00019092,             0.00019092,             0.00019092
                     39,                0.64252,                 0.5447,                 1.0383,                0.98353,                0.98647,                0.99122,                0.96072,                0.32547,                 0.2108,                0.85314,             0.00017679,             0.00017679,             0.00017679
                     40,                0.64315,                0.54602,                 1.0305,                0.98524,                 0.9821,                0.99189,                0.96259,                0.32287,                0.21191,                 0.8512,             0.00016265,             0.00016265,             0.00016265
