                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88255,                 7.2725,                 1.4603,                 0.2878,                0.68131,                 0.3792,                0.35527,                0.38566,                 1.9195,                 0.9934,             0.00023677,             0.00023677,             0.00023677
                      2,                0.61461,                 2.3045,                 1.1111,                0.38513,                0.80991,                0.57509,                0.55038,                0.31583,                 1.4148,                 0.9618,             0.00045911,             0.00045911,             0.00045911
                      3,                 0.5155,                 1.6933,                  1.048,                0.68201,                0.80455,                0.81302,                0.78207,                0.31265,                 1.0096,                0.95994,             0.00066573,             0.00066573,             0.00066573
                      4,                0.47861,                 1.1949,                 1.0217,                0.87581,                0.91476,                0.97139,                0.94556,                0.29097,                0.56793,                 0.9417,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.4321,                0.90493,                0.98026,                 0.9213,                0.95317,                0.99058,                0.95326,                0.30646,                0.49555,                0.94525,             0.00061975,             0.00061975,             0.00061975
                      6,                0.42044,                0.70985,                0.97591,                0.96529,                0.98911,                0.99312,                0.95718,                0.31122,                0.37391,                0.97707,             0.00059619,             0.00059619,             0.00059619
                      7,                0.41577,                0.65477,                0.98806,                0.97683,                0.99615,                0.99471,                0.97317,                0.27719,                0.27662,                0.91774,             0.00057263,             0.00057263,             0.00057263
                      8,                0.40608,                0.57581,                0.97295,                0.98219,                0.99183,                0.99318,                0.97766,                0.24884,                0.27834,                0.90183,             0.00054907,             0.00054907,             0.00054907
                      9,                0.38364,                 0.5538,                0.96237,                0.98296,                0.98371,                0.99478,                0.97983,                0.24246,                0.25656,                0.90393,              0.0005255,              0.0005255,              0.0005255
                     10,                0.38315,                 0.5354,                0.94949,                0.98278,                0.99139,                  0.995,                0.98582,                 0.2311,                0.22133,                0.88854,             0.00050194,             0.00050194,             0.00050194
                     11,                0.34248,                0.44276,                0.93893,                0.98877,                0.99773,                  0.995,                0.98092,                0.22625,                0.20176,                0.88128,             0.00047838,             0.00047838,             0.00047838
                     12,                0.34307,                0.46187,                0.93346,                0.98374,                0.99621,                  0.995,                0.99128,                0.19997,                0.20317,                0.87188,             0.00045482,             0.00045482,             0.00045482
                     13,                0.32126,                0.41527,                0.92334,                0.98467,                0.99068,                0.99413,                0.98586,                0.21594,                0.20165,                0.88762,             0.00043126,             0.00043126,             0.00043126
                     14,                0.32578,                0.41565,                0.92507,                0.99158,                      1,                  0.995,                0.98763,                0.19739,                0.19315,                0.87456,             0.00040769,             0.00040769,             0.00040769
                     15,                0.31358,                0.38598,                0.91221,                0.99297,                0.99986,                  0.995,                0.99392,                 0.1726,                0.16338,                0.85636,             0.00038413,             0.00038413,             0.00038413
                     16,                0.30401,                  0.408,                0.91747,                0.98766,                0.99962,                  0.995,                0.99335,                0.17543,                0.16711,                 0.8525,             0.00036057,             0.00036057,             0.00036057
                     17,                0.28895,                0.36004,                0.90284,                0.99101,                      1,                  0.995,                0.99145,                 0.1822,                0.17206,                0.86359,             0.00033701,             0.00033701,             0.00033701
                     18,                0.29319,                0.35264,                0.91827,                0.98971,                      1,                  0.995,                0.99176,                0.18555,                0.16647,                0.86369,             0.00031345,             0.00031345,             0.00031345
                     19,                0.28708,                0.37114,                0.91225,                0.99024,                0.99969,                  0.995,                0.99155,                0.16353,                0.15095,                0.85118,             0.00028988,             0.00028988,             0.00028988
                     20,                0.27303,                0.34508,                0.90428,                0.99203,                0.99877,                  0.995,                0.99178,                0.17768,                0.15491,                0.85756,             0.00026632,             0.00026632,             0.00026632
                     21,                0.18299,                 0.1751,                0.81735,                0.99383,                      1,                  0.995,                0.99298,                0.15724,                0.14425,                 0.8486,             0.00024276,             0.00024276,             0.00024276
                     22,                0.17901,                0.16457,                0.80313,                0.99304,                      1,                  0.995,                0.99471,                 0.1499,                0.14007,                0.84484,              0.0002192,              0.0002192,              0.0002192
                     23,                0.17356,                0.15258,                0.80315,                0.99441,                      1,                  0.995,                0.99397,                0.14635,                 0.1306,                 0.8424,             0.00019564,             0.00019564,             0.00019564
                     24,                0.16258,                0.14803,                0.79904,                 0.9943,                      1,                  0.995,                0.99317,                0.14596,                0.12816,                0.84545,             0.00017207,             0.00017207,             0.00017207
                     25,                0.15442,                 0.1435,                0.79693,                0.99408,                0.99967,                  0.995,                0.99476,                0.13183,                0.12458,                0.83767,             0.00014851,             0.00014851,             0.00014851
                     26,                 0.1528,                0.12999,                0.80723,                0.99472,                      1,                  0.995,                  0.995,                0.13549,                0.11705,                0.83725,             0.00012495,             0.00012495,             0.00012495
                     27,                0.15221,                0.12688,                0.78691,                0.99475,                      1,                  0.995,                0.99479,                 0.1313,                0.11097,                0.83347,             0.00010139,             0.00010139,             0.00010139
                     28,                0.14085,                0.12502,                0.78742,                0.99494,                      1,                  0.995,                  0.995,                0.12796,                0.10936,                0.83662,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.13793,                0.11955,                0.79067,                  0.995,                      1,                  0.995,                  0.995,                0.11997,                0.10624,                0.83164,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.13277,                0.11253,                0.77977,                0.99524,                      1,                  0.995,                  0.995,                0.11762,                0.10218,                 0.8325,             3.0702e-05,             3.0702e-05,             3.0702e-05
