                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4258,                 3.6855,                 1.4051,                0.99311,                0.99667,                0.99489,                0.60468,                 1.4901,                0.56568,                 1.3041,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.3028,                0.80903,                 1.2965,                0.99699,                0.99938,                0.99499,                0.66925,                 1.2485,                0.46897,                 1.1949,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.3004,                0.76924,                 1.3122,                0.99768,                0.99884,                  0.995,                0.67771,                 1.2341,                0.47466,                  1.192,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.2939,                0.74686,                 1.3177,                0.99739,                0.99944,                  0.995,                0.65355,                 1.3316,                0.47939,                 1.2572,               0.009703,               0.009703,               0.009703
                      5,                 1.2741,                0.69433,                  1.323,                0.99816,                0.99961,                  0.995,                0.65027,                  1.348,                0.46645,                 1.3027,               0.009604,               0.009604,               0.009604
                      6,                 1.2594,                0.64692,                 1.3321,                0.99833,                0.99973,                0.99497,                0.67569,                 1.2855,                0.41904,                  1.263,               0.009505,               0.009505,               0.009505
                      7,                 1.2553,                0.60877,                 1.3371,                0.99865,                      1,                  0.995,                0.68597,                 1.2635,                 0.4107,                 1.2461,               0.009406,               0.009406,               0.009406
                      8,                 1.2364,                0.60097,                 1.3217,                0.99885,                0.99986,                  0.995,                0.71147,                 1.1882,                0.39368,                 1.2109,               0.009307,               0.009307,               0.009307
                      9,                 1.2384,                0.59112,                 1.3208,                0.99895,                      1,                  0.995,                 0.7046,                 1.2136,                0.38798,                 1.2255,               0.009208,               0.009208,               0.009208
                     10,                 1.2299,                0.57512,                 1.3209,                 0.9985,                      1,                  0.995,                 0.6996,                 1.2412,                0.38752,                 1.2438,               0.009109,               0.009109,               0.009109
                     11,                 1.2305,                0.57043,                 1.3207,                0.99908,                      1,                  0.995,                0.68803,                 1.2936,                0.39358,                 1.2627,                0.00901,                0.00901,                0.00901
                     12,                 1.2223,                  0.561,                 1.3138,                0.99914,                      1,                  0.995,                 0.7037,                 1.2327,                0.37768,                 1.2392,               0.008911,               0.008911,               0.008911
                     13,                 1.2163,                0.54407,                 1.3004,                0.99905,                      1,                  0.995,                0.68779,                 1.2925,                0.38454,                 1.2678,               0.008812,               0.008812,               0.008812
                     14,                 1.2054,                0.54449,                 1.3039,                 0.9991,                0.99977,                  0.995,                0.69611,                  1.267,                0.37314,                 1.2518,               0.008713,               0.008713,               0.008713
                     15,                  1.212,                0.53808,                 1.3073,                0.99913,                      1,                  0.995,                0.70715,                 1.2439,                0.36226,                 1.2339,               0.008614,               0.008614,               0.008614
                     16,                 1.2049,                0.53527,                 1.2987,                0.99901,                      1,                  0.995,                0.70216,                 1.2511,                 0.3644,                 1.2356,               0.008515,               0.008515,               0.008515
                     17,                  1.195,                0.52694,                 1.2902,                0.99924,                      1,                  0.995,                0.72192,                  1.191,                0.35097,                 1.2019,               0.008416,               0.008416,               0.008416
                     18,                 1.1942,                0.53005,                 1.2904,                0.99935,                      1,                  0.995,                0.72523,                 1.1717,                0.34313,                 1.1917,               0.008317,               0.008317,               0.008317
                     19,                 1.1998,                0.51824,                 1.2836,                 0.9993,                      1,                  0.995,                0.71583,                 1.2107,                0.35032,                 1.2146,               0.008218,               0.008218,               0.008218
                     20,                 1.1868,                0.51256,                  1.281,                0.99933,                      1,                  0.995,                0.71125,                 1.2315,                0.34888,                  1.224,               0.008119,               0.008119,               0.008119
                     21,                 1.1839,                0.50943,                 1.2767,                0.99938,                      1,                  0.995,                0.73117,                 1.1613,                0.33608,                 1.2071,                0.00802,                0.00802,                0.00802
                     22,                 1.1969,                0.50824,                 1.2888,                0.99942,                      1,                  0.995,                0.72768,                 1.1725,                 0.3373,                 1.2065,               0.007921,               0.007921,               0.007921
                     23,                 1.1824,                0.50235,                 1.2832,                0.99943,                      1,                  0.995,                0.73798,                 1.1307,                0.32932,                 1.1949,               0.007822,               0.007822,               0.007822
                     24,                 1.1831,                0.49174,                 1.2952,                0.99943,                      1,                  0.995,                0.73947,                 1.1313,                 0.3255,                 1.2046,               0.007723,               0.007723,               0.007723
                     25,                 1.1783,                0.48883,                 1.3055,                0.99935,                      1,                  0.995,                0.74683,                 1.1034,                 0.3143,                 1.2108,               0.007624,               0.007624,               0.007624
                     26,                 1.1754,                0.48692,                 1.3078,                0.99946,                      1,                  0.995,                0.74878,                 1.0931,                0.31147,                 1.2035,               0.007525,               0.007525,               0.007525
                     27,                 1.1706,                0.48181,                 1.3065,                0.99944,                      1,                  0.995,                0.75376,                 1.0724,                0.30735,                 1.1913,               0.007426,               0.007426,               0.007426
                     28,                 1.1676,                 0.4765,                 1.3031,                0.99946,                      1,                  0.995,                0.75245,                 1.0776,                0.30786,                 1.1991,               0.007327,               0.007327,               0.007327
                     29,                 1.1663,                0.48126,                 1.3002,                0.99947,                      1,                  0.995,                0.75762,                 1.0631,                0.30613,                 1.1897,               0.007228,               0.007228,               0.007228
                     30,                 1.1493,                0.47261,                 1.2877,                0.99945,                      1,                  0.995,                0.76641,                 1.0302,                0.29938,                 1.1761,               0.007129,               0.007129,               0.007129
