                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2327,                 5.2279,                 1.9175,                0.18559,                0.48981,                0.25682,                0.16937,                 1.2015,                 2.4489,                 2.1164,             0.00023702,             0.00023702,             0.00023702
                      2,                0.94057,                 3.4377,                 1.5943,                0.47917,                0.74412,                0.68558,                0.54285,                0.86461,                 1.4084,                 1.7089,             0.00047032,             0.00047032,             0.00047032
                      3,                0.88361,                 2.4034,                 1.5067,                0.69636,                0.78524,                0.83923,                0.68266,                0.77561,                 1.1449,                 1.5621,             0.00069891,             0.00069891,             0.00069891
                      4,                0.81452,                 1.6846,                 1.4353,                0.85411,                 0.8711,                0.93992,                0.75627,                 0.7851,                0.82764,                 1.5426,             0.00069279,             0.00069279,             0.00069279
                      5,                0.81827,                 1.2903,                 1.4154,                0.92154,                0.90647,                0.96902,                0.80239,                0.70894,                0.66051,                 1.4341,             0.00068573,             0.00068573,             0.00068573
                      6,                0.78284,                 1.0644,                 1.3867,                0.94868,                 0.8909,                0.96726,                0.79931,                0.74061,                 0.6428,                 1.4517,             0.00067866,             0.00067866,             0.00067866
                      7,                0.79057,                0.98428,                 1.3845,                0.93889,                0.93221,                0.97563,                0.81867,                0.67659,                0.57712,                 1.3788,             0.00067159,             0.00067159,             0.00067159
                      8,                0.74418,                0.85359,                 1.3279,                0.95425,                0.93749,                0.98245,                0.82727,                0.67317,                0.52768,                 1.3766,             0.00066452,             0.00066452,             0.00066452
                      9,                0.73596,                0.78214,                 1.3187,                0.97408,                0.94204,                  0.987,                0.84258,                0.64818,                0.46657,                 1.3555,             0.00065745,             0.00065745,             0.00065745
                     10,                0.69613,                0.72651,                 1.2999,                0.96337,                0.95371,                0.98299,                0.83199,                0.66046,                0.48126,                 1.3858,             0.00065038,             0.00065038,             0.00065038
                     11,                0.71566,                0.71068,                 1.3055,                0.96829,                0.95751,                0.98649,                0.84228,                0.65194,                0.46704,                 1.3392,             0.00064331,             0.00064331,             0.00064331
                     12,                0.68948,                0.65529,                 1.2765,                0.97398,                  0.958,                 0.9878,                0.83865,                 0.6551,                0.44565,                  1.343,             0.00063625,             0.00063625,             0.00063625
                     13,                0.68463,                0.63422,                  1.275,                0.97654,                0.96008,                0.98928,                0.85422,                0.61496,                0.41304,                 1.2999,             0.00062918,             0.00062918,             0.00062918
                     14,                0.69947,                 0.6316,                  1.285,                 0.9681,                0.96078,                0.98645,                0.83936,                 0.6478,                0.42763,                 1.3296,             0.00062211,             0.00062211,             0.00062211
                     15,                0.69083,                0.61926,                  1.272,                0.96375,                0.95879,                0.98684,                 0.8497,                0.62743,                0.43908,                 1.3333,             0.00061504,             0.00061504,             0.00061504
                     16,                0.68703,                0.59467,                 1.2693,                0.97352,                0.96614,                0.98862,                0.84362,                0.64309,                0.41998,                 1.3306,             0.00060797,             0.00060797,             0.00060797
                     17,                0.67636,                0.56943,                 1.2589,                0.98296,                0.97209,                0.99179,                0.85481,                0.61408,                0.38799,                 1.3059,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.6684,                0.55033,                 1.2443,                0.97541,                0.97013,                0.98871,                  0.854,                0.61444,                0.38399,                 1.3058,             0.00059383,             0.00059383,             0.00059383
                     19,                0.66316,                0.53805,                 1.2508,                0.97922,                0.97044,                0.99039,                0.85931,                0.59723,                0.37556,                 1.2814,             0.00058677,             0.00058677,             0.00058677
                     20,                0.67231,                0.55494,                 1.2523,                0.96986,                0.97042,                0.98933,                0.86216,                 0.6039,                0.36863,                 1.2841,              0.0005797,              0.0005797,              0.0005797
                     21,                0.65226,                0.50498,                 1.2334,                 0.9725,                0.96871,                 0.9886,                0.86209,                0.59615,                0.36405,                 1.2765,             0.00057263,             0.00057263,             0.00057263
                     22,                0.66627,                0.52132,                 1.2426,                0.97247,                0.97251,                0.98938,                0.85973,                 0.6027,                0.36909,                 1.2633,             0.00056556,             0.00056556,             0.00056556
                     23,                0.63694,                 0.4838,                 1.2216,                0.98335,                0.97821,                0.99075,                0.86285,                0.60608,                0.34054,                 1.2845,             0.00055849,             0.00055849,             0.00055849
                     24,                0.64204,                0.50358,                 1.2138,                0.97698,                0.97554,                0.99097,                0.86634,                0.59419,                0.34923,                 1.2685,             0.00055142,             0.00055142,             0.00055142
                     25,                0.62968,                0.46527,                  1.214,                 0.9766,                0.97777,                0.99162,                0.86479,                0.59892,                0.35632,                 1.2699,             0.00054435,             0.00054435,             0.00054435
                     26,                0.62183,                0.48014,                 1.2149,                0.97885,                0.98062,                0.99262,                0.86955,                 0.5851,                0.33227,                  1.259,             0.00053728,             0.00053728,             0.00053728
