                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1732,                 1.0798,                 1.3048,                0.92217,                0.85021,                0.93762,                0.70294,                0.93848,                0.73952,                 1.1027,             0.00023759,             0.00023759,             0.00023759
                      2,                 1.2293,                0.96882,                 1.3481,                0.87867,                0.88798,                0.93341,                0.67935,                0.95786,                0.70257,                 1.1178,              0.0004599,              0.0004599,              0.0004599
                      3,                 1.2187,                0.95217,                 1.3468,                0.93275,                0.83145,                0.90547,                0.67266,                0.99176,                 0.8123,                 1.1598,             0.00066649,             0.00066649,             0.00066649
                      4,                   1.17,                0.91657,                 1.3093,                0.90921,                0.87315,                0.93666,                0.68431,                0.98492,                0.68071,                 1.1223,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1429,                0.85219,                 1.2817,                0.93443,                0.89918,                0.96501,                 0.7319,                0.87039,                0.58085,                 1.0733,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.0474,                0.75431,                 1.2391,                0.96528,                0.90917,                0.96938,                0.76814,                0.79125,                0.52179,                 1.0386,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.0526,                0.74448,                 1.2509,                0.96711,                0.93484,                0.98193,                0.79195,                0.75698,                0.46388,                 1.0236,             0.00057263,             0.00057263,             0.00057263
                      8,                0.99561,                0.72058,                 1.2152,                0.97756,                0.94966,                0.98472,                0.78754,                0.76453,                0.44604,                 1.0331,             0.00054907,             0.00054907,             0.00054907
                      9,                0.99531,                0.69215,                 1.2076,                0.98123,                0.93733,                0.98335,                0.80361,                0.73597,                0.44803,                 1.0051,              0.0005255,              0.0005255,              0.0005255
                     10,                0.97321,                0.66346,                 1.1954,                0.97404,                0.94914,                0.98334,                  0.809,                0.70745,                0.42125,                0.98579,             0.00050194,             0.00050194,             0.00050194
                     11,                0.93707,                0.64071,                 1.1784,                0.98222,                0.96276,                0.98825,                0.81388,                0.70892,                0.40577,                0.98897,             0.00047838,             0.00047838,             0.00047838
                     12,                0.90969,                0.60484,                 1.1671,                0.98177,                0.97804,                 0.9926,                0.83228,                0.67702,                0.36554,                0.97237,             0.00045482,             0.00045482,             0.00045482
                     13,                0.90589,                0.60831,                 1.1634,                0.97777,                0.97003,                0.98813,                0.83373,                0.66472,                0.37434,                0.96767,             0.00043126,             0.00043126,             0.00043126
                     14,                0.88419,                0.56926,                 1.1355,                   0.99,                0.96821,                0.99132,                0.84536,                0.63995,                 0.3502,                0.95183,             0.00040769,             0.00040769,             0.00040769
                     15,                0.88441,                0.56011,                 1.1493,                0.97739,                0.97457,                0.99153,                0.84263,                0.65894,                0.34942,                0.96122,             0.00038413,             0.00038413,             0.00038413
                     16,                0.86203,                 0.5633,                 1.1347,                0.98614,                0.96953,                0.99254,                0.85104,                0.62461,                0.34517,                0.94951,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.8353,                0.54007,                 1.1289,                0.98698,                 0.9782,                0.99261,                0.84996,                0.63158,                0.33671,                 0.9549,             0.00033701,             0.00033701,             0.00033701
                     18,                0.85148,                0.54055,                 1.1248,                0.98178,                0.98093,                0.99294,                0.85776,                0.61924,                 0.3327,                0.93931,             0.00031345,             0.00031345,             0.00031345
                     19,                0.81459,                0.51961,                 1.1063,                 0.9894,                0.97003,                0.99271,                0.86318,                0.61094,                0.31495,                0.93316,             0.00028988,             0.00028988,             0.00028988
                     20,                0.81648,                0.51024,                 1.1132,                0.98715,                0.97659,                0.99351,                0.86753,                0.60278,                0.30554,                0.92818,             0.00026632,             0.00026632,             0.00026632
                     21,                0.68497,                0.36549,                 1.0041,                0.98098,                0.97094,                0.99219,                0.85891,                0.60551,                0.32922,                0.93911,             0.00024276,             0.00024276,             0.00024276
                     22,                0.67224,                0.35414,                0.99777,                 0.9852,                0.97548,                0.99236,                0.86501,                0.59794,                 0.3104,                0.92459,              0.0002192,              0.0002192,              0.0002192
                     23,                0.63219,                0.32831,                0.98062,                0.98948,                0.97275,                 0.9926,                0.86916,                0.59221,                0.31047,                0.91586,             0.00019564,             0.00019564,             0.00019564
                     24,                0.60786,                0.30667,                0.97046,                0.98368,                0.97639,                0.99297,                0.87085,                0.59091,                 0.2961,                0.91808,             0.00017207,             0.00017207,             0.00017207
                     25,                0.61359,                0.30513,                 0.9749,                0.99167,                0.97297,                0.99393,                0.87194,                0.58146,                 0.2971,                0.91823,             0.00014851,             0.00014851,             0.00014851
                     26,                0.60367,                0.29753,                0.96095,                0.99177,                0.96458,                0.99099,                0.87683,                0.57227,                0.29699,                0.92303,             0.00012495,             0.00012495,             0.00012495
                     27,                0.57229,                 0.2844,                0.96044,                0.99079,                 0.9766,                 0.9941,                0.88036,                0.56205,                0.28233,                0.91313,             0.00010139,             0.00010139,             0.00010139
                     28,                0.57903,                0.27904,                0.96023,                0.99175,                0.98223,                0.99449,                0.88591,                0.55613,                0.26749,                0.90822,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                 0.5639,                0.27269,                0.93963,                0.98992,                0.98123,                0.99443,                 0.8846,                0.55451,                0.26096,                0.90977,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.54583,                0.26234,                0.93076,                0.98725,                0.98462,                0.99453,                0.88447,                 0.5543,                0.25909,                0.90933,             3.0702e-05,             3.0702e-05,             3.0702e-05
