                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1734,                 1.7157,                 1.2768,                0.92904,                0.87127,                0.93525,                0.67181,                0.90448,                 1.0254,                 1.0413,              0.0033276,              0.0033276,              0.0033276
                      2,                 1.1635,                 1.2279,                 1.2499,                0.91395,                0.85405,                0.93199,                 0.6729,                 1.0088,                 0.9604,                 1.0809,               0.006595,               0.006595,               0.006595
                      3,                 1.2527,                  1.199,                 1.2881,                0.83492,                0.80222,                  0.865,                0.56378,                 1.2321,                 1.0024,                 1.2335,              0.0097964,              0.0097964,              0.0097964
                      4,                 1.3752,                 1.2427,                 1.3748,                0.89232,                0.78004,                0.85916,                0.55992,                 1.1929,                 1.2063,                 1.2345,               0.009703,               0.009703,               0.009703
                      5,                 1.3205,                 1.1287,                 1.3422,                0.89734,                0.86437,                0.91616,                0.65574,                 1.0783,                 0.8655,                 1.1544,               0.009604,               0.009604,               0.009604
                      6,                 1.2496,                 1.0412,                 1.3111,                0.93793,                0.89381,                0.94559,                0.68768,                0.99702,                0.73485,                 1.1068,               0.009505,               0.009505,               0.009505
                      7,                 1.2222,                0.96705,                 1.2892,                0.92729,                0.91931,                0.96149,                0.71554,                0.97034,                0.68101,                 1.0771,               0.009406,               0.009406,               0.009406
                      8,                 1.1864,                0.95875,                 1.2903,                0.96149,                0.91959,                0.97366,                0.72202,                0.94559,                0.62052,                 1.0759,               0.009307,               0.009307,               0.009307
                      9,                 1.1639,                0.91452,                 1.2654,                0.97194,                0.93438,                0.97327,                0.73208,                0.91807,                 0.6358,                 1.0476,               0.009208,               0.009208,               0.009208
                     10,                 1.1416,                0.88494,                 1.2548,                0.97603,                0.94091,                0.97932,                0.75177,                0.87381,                0.54816,                 1.0414,               0.009109,               0.009109,               0.009109
                     11,                 1.0892,                0.83373,                 1.2243,                0.96634,                0.93993,                0.97423,                 0.7586,                0.87244,                0.55051,                 1.0224,                0.00901,                0.00901,                0.00901
                     12,                 1.0811,                 0.8139,                 1.2205,                 0.9588,                0.94634,                0.98055,                 0.7747,                0.84371,                0.54115,                 1.0283,               0.008911,               0.008911,               0.008911
                     13,                 1.0836,                0.80418,                 1.2184,                0.97828,                0.95757,                0.99055,                0.79145,                0.79107,                0.47817,                0.98933,               0.008812,               0.008812,               0.008812
                     14,                 1.0515,                0.76197,                 1.2064,                0.97179,                0.95287,                0.97981,                0.78499,                0.80355,                0.50313,                  1.009,               0.008713,               0.008713,               0.008713
                     15,                 1.0555,                0.76686,                 1.2096,                0.97472,                0.92654,                0.97894,                0.77625,                0.79967,                0.54831,                 1.0137,               0.008614,               0.008614,               0.008614
                     16,                 1.0323,                0.75862,                 1.1973,                0.97923,                0.95843,                0.98484,                0.80653,                0.74824,                0.45567,                0.97202,               0.008515,               0.008515,               0.008515
                     17,                  1.042,                0.73707,                  1.197,                0.98209,                0.96284,                0.99088,                0.79785,                0.77121,                0.45463,                0.98621,               0.008416,               0.008416,               0.008416
                     18,                  1.006,                0.72122,                 1.1773,                0.96548,                0.95841,                0.98531,                0.80298,                0.74987,                0.44812,                0.97071,               0.008317,               0.008317,               0.008317
                     19,                 1.0306,                0.73466,                 1.1974,                0.98488,                0.96313,                 0.9907,                0.80606,                0.74264,                0.43619,                0.96623,               0.008218,               0.008218,               0.008218
                     20,                 1.0329,                0.72342,                  1.191,                0.97062,                0.94655,                 0.9823,                0.79137,                0.78473,                0.47964,                0.99471,               0.008119,               0.008119,               0.008119
                     21,                0.99531,                0.68926,                 1.1802,                0.98881,                0.97043,                0.98803,                0.80117,                0.76099,                0.42547,                0.97441,                0.00802,                0.00802,                0.00802
                     22,                0.98928,                0.70633,                 1.1718,                0.98208,                0.96228,                0.98413,                0.80273,                0.75163,                0.44917,                0.97125,               0.007921,               0.007921,               0.007921
                     23,                 1.0107,                0.70161,                 1.1852,                0.97316,                0.97161,                0.98758,                0.81032,                 0.7513,                0.42424,                0.96523,               0.007822,               0.007822,               0.007822
                     24,                0.98302,                0.67831,                 1.1678,                0.98231,                0.96765,                0.98177,                0.81386,                  0.744,                 0.4214,                0.95973,               0.007723,               0.007723,               0.007723
                     25,                0.97057,                0.66719,                 1.1587,                0.98314,                0.97028,                0.99091,                0.81522,                0.72832,                0.41877,                0.95872,               0.007624,               0.007624,               0.007624
                     26,                0.93828,                0.67049,                 1.1527,                0.98869,                 0.9696,                0.99191,                 0.8116,                0.70724,                0.43097,                0.95985,               0.007525,               0.007525,               0.007525
                     27,                0.96745,                0.67211,                 1.1646,                0.98609,                0.96396,                0.98842,                0.81783,                0.72911,                0.42091,                0.95483,               0.007426,               0.007426,               0.007426
                     28,                0.92342,                0.63147,                 1.1447,                0.99333,                0.96396,                0.98836,                 0.8328,                0.68685,                0.40627,                0.94483,               0.007327,               0.007327,               0.007327
                     29,                0.93368,                0.63146,                 1.1421,                0.99002,                 0.9658,                0.99047,                0.82332,                0.70922,                0.38748,                0.94128,               0.007228,               0.007228,               0.007228
