                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7885,                 2.1147,                 1.5393,                0.93175,                 0.9149,                0.95773,                0.54531,                 1.4181,                  1.367,                 1.2026,             0.00023588,             0.00023588,             0.00023588
                      2,                 1.4206,                 1.1484,                 1.2199,                0.95869,                0.95361,                0.98471,                0.57344,                 1.3868,                 1.0056,                 1.1896,             0.00046918,             0.00046918,             0.00046918
                      3,                 1.4367,                 1.0547,                 1.2685,                0.97267,                0.97423,                0.98926,                0.61435,                 1.2851,                0.86561,                 1.1818,             0.00069778,             0.00069778,             0.00069778
                      4,                 1.4346,                 1.0634,                 1.2562,                0.99013,                 0.9433,                0.99006,                 0.5887,                 1.3805,                0.80148,                 1.2253,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3201,                0.84735,                 1.2036,                0.99111,                0.96392,                0.99095,                  0.597,                 1.3612,                0.71681,                 1.2034,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.4055,                0.88774,                 1.2444,                0.99459,                0.94764,                0.97068,                0.61511,                 1.3378,                0.69065,                 1.2151,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.3387,                0.81855,                 1.2146,                0.99733,                0.97938,                0.98394,                0.61572,                 1.2823,                0.62642,                 1.1885,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.3646,                0.81539,                 1.2189,                0.95035,                 0.9867,                0.99211,                0.62798,                 1.2734,                0.58328,                 1.1727,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.2998,                0.72538,                 1.1622,                0.98417,                0.96161,                0.97835,                 0.5934,                  1.357,                0.61988,                 1.2111,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2725,                0.70562,                 1.1785,                0.99469,                0.96513,                0.99248,                0.63247,                 1.2899,                0.58606,                 1.1606,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.2918,                0.71322,                 1.1916,                0.98949,                0.97096,                0.97531,                0.62103,                 1.3219,                0.58267,                 1.2365,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.2872,                 0.6911,                 1.1845,                 0.9861,                0.95876,                0.98354,                0.63499,                 1.2492,                0.58352,                 1.1766,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.2903,                0.70366,                 1.1971,                0.99473,                0.97251,                0.99379,                0.63486,                 1.2231,                0.55018,                 1.1569,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.3169,                0.67438,                 1.1893,                0.98957,                0.97818,                0.98474,                0.63453,                 1.2396,                0.51179,                 1.1516,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.2494,                0.63457,                 1.1658,                0.96446,                0.97921,                0.98334,                0.60716,                 1.3376,                 0.5496,                 1.2139,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.2689,                 0.6772,                 1.1764,                0.98412,                0.95829,                0.96456,                0.59786,                 1.3631,                0.64394,                 1.1869,             0.00060797,             0.00060797,             0.00060797
                     17,                  1.246,                 0.6556,                 1.1683,                0.97885,                0.95441,                 0.9815,                 0.6375,                  1.244,                 0.5283,                 1.1798,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.2483,                0.65405,                 1.1617,                0.98628,                0.94845,                0.97567,                0.60075,                 1.3363,                0.52765,                  1.177,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.2474,                0.63664,                  1.176,                0.97702,                0.94845,                0.99125,                0.63876,                  1.269,                0.52337,                  1.165,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.2476,                0.62867,                 1.1615,                0.98946,                0.96768,                0.99382,                0.61873,                  1.303,                0.55324,                 1.1698,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.2764,                 0.6554,                 1.1883,                0.97903,                0.96276,                0.98335,                0.60935,                 1.3703,                0.62368,                 1.1865,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.2942,                0.65925,                 1.2037,                0.97897,                0.95967,                0.97492,                0.61837,                 1.3292,                0.51516,                 1.2125,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.2659,                0.63976,                  1.186,                0.96895,                0.96517,                0.97232,                0.64479,                 1.2515,                0.49036,                 1.1585,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.2155,                0.59764,                 1.1414,                0.99411,                 0.9433,                0.97454,                0.64837,                  1.198,                0.51648,                 1.1413,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.2878,                0.61982,                 1.1762,                0.97412,                0.97001,                0.98183,                0.62426,                 1.3017,                 0.4893,                 1.1788,             0.00054435,             0.00054435,             0.00054435
                     26,                  1.184,                0.59855,                 1.1166,                      1,                0.94678,                0.98462,                0.64808,                 1.2148,                0.51623,                 1.1484,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.2102,                0.58754,                  1.156,                0.99473,                0.97381,                0.98815,                 0.6594,                 1.2113,                0.49372,                 1.1601,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.2285,                0.62605,                 1.1506,                0.96428,                 0.9741,                0.97604,                0.64793,                 1.2329,                0.48391,                 1.1605,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.2255,                0.59202,                 1.1613,                0.98547,                0.94845,                0.98063,                0.65079,                  1.234,                0.47163,                 1.1512,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.1763,                0.57693,                 1.1221,                0.98952,                0.95876,                0.99319,                 0.6795,                  1.164,                0.46019,                 1.1168,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.1839,                0.57412,                  1.132,                0.98811,                0.97423,                0.99006,                0.65323,                 1.2307,                0.46271,                 1.1429,             0.00050194,             0.00050194,             0.00050194
                     32,                  1.154,                0.55387,                 1.1229,                      1,                0.95726,                0.98542,                0.64902,                 1.2293,                 0.4802,                 1.1257,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.1719,                0.57517,                 1.1382,                0.98943,                0.96474,                0.98693,                0.65927,                 1.2079,                  0.476,                 1.1326,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.1824,                0.57289,                 1.1421,                0.99266,                0.95361,                0.99327,                0.67468,                 1.1726,                0.46086,                 1.1229,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.1945,                0.57991,                  1.162,                      1,                0.96904,                 0.9851,                 0.6734,                 1.1775,                0.49215,                  1.138,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.2048,                0.57454,                 1.1372,                0.97251,                0.96392,                0.97575,                0.63365,                 1.2591,                0.51176,                 1.1621,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.2352,                0.58575,                 1.1567,                0.98949,                0.97093,                0.97708,                0.65762,                 1.2215,                0.51839,                 1.1523,             0.00045953,             0.00045953,             0.00045953
                     38,                  1.179,                0.55938,                 1.1298,                0.97908,                0.96492,                 0.9841,                0.67386,                 1.1905,                0.45832,                 1.1375,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.1491,                0.54152,                 1.1048,                0.98235,                0.97423,                0.99364,                0.68428,                 1.1843,                0.44751,                 1.1295,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.1658,                0.55823,                 1.1332,                0.98483,                0.95876,                0.98595,                0.66868,                  1.214,                0.45816,                 1.1372,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1701,                0.56885,                 1.1267,                0.96963,                 0.9875,                0.99331,                0.66344,                 1.1914,                0.45315,                 1.1371,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.1956,                0.57324,                 1.1437,                0.97768,                0.98454,                0.98546,                0.67194,                 1.2332,                0.46851,                 1.1729,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.1562,                0.54129,                 1.1236,                0.97282,                0.97938,                0.98471,                0.66997,                 1.2066,                0.43378,                 1.1575,             0.00041712,             0.00041712,             0.00041712
                     44,                  1.145,                0.54627,                 1.1381,                0.97828,                0.97423,                 0.9896,                0.67672,                 1.2333,                0.46751,                 1.1643,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.1535,                0.53721,                 1.1258,                0.95385,                0.97423,                0.98458,                0.66668,                 1.2152,                0.47194,                 1.1634,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1351,                0.52317,                 1.0962,                0.98428,                0.98969,                0.99297,                0.66277,                 1.2408,                 0.4521,                   1.16,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.1255,                 0.5428,                 1.1151,                0.97723,                0.97938,                0.99384,                0.66856,                 1.2093,                0.44139,                 1.1341,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.1591,                0.55354,                  1.136,                0.97449,                0.98453,                0.98538,                0.67013,                 1.1827,                0.45126,                 1.1348,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.1455,                0.53422,                  1.111,                0.99474,                0.97565,                0.99191,                0.66336,                 1.2149,                0.45229,                  1.135,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.1252,                0.53856,                  1.136,                  0.998,                0.97423,                0.98686,                0.64204,                 1.2535,                0.44594,                 1.1676,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.1109,                0.52495,                 1.0944,                0.96839,                0.97938,                 0.9763,                 0.6565,                 1.2145,                0.43859,                 1.1693,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.1493,                0.53349,                 1.1088,                0.99476,                0.97884,                0.99435,                0.68945,                 1.2011,                 0.4373,                 1.1328,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.1302,                0.53944,                 1.1251,                0.99179,                0.98454,                0.99436,                0.66599,                 1.1777,                0.47193,                 1.1348,             0.00034643,             0.00034643,             0.00034643
                     54,                  1.134,                0.50286,                 1.1401,                0.98715,                0.98454,                0.98765,                0.67006,                 1.1978,                0.49682,                 1.1567,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.1156,                0.51891,                 1.1034,                0.97956,                0.97423,                0.99306,                0.66763,                 1.1832,                0.43167,                 1.1441,              0.0003323,              0.0003323,              0.0003323
                     56,                  1.099,                0.49909,                 1.0994,                0.97749,                0.97423,                0.98228,                0.67871,                 1.1825,                0.44537,                 1.1363,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.1449,                0.52612,                 1.1054,                0.98827,                0.95876,                0.98907,                0.68151,                 1.1879,                0.42295,                 1.1335,             0.00031816,             0.00031816,             0.00031816
