                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0821,                 1.4546,                  1.223,                0.89469,                0.83939,                0.89769,                0.64303,                0.93039,                0.90751,                 1.1095,              0.0002373,              0.0002373,              0.0002373
                      2,                 1.0491,                 1.0766,                 1.2171,                0.89007,                 0.8481,                0.90036,                0.63253,                 1.0166,                0.88528,                 1.1247,              0.0004706,              0.0004706,              0.0004706
                      3,                 1.0692,                 1.0011,                 1.2268,                 0.8821,                0.84544,                0.89495,                0.65337,                0.97033,                0.80301,                 1.1534,             0.00069918,             0.00069918,             0.00069918
                      4,                 1.0434,                0.92098,                 1.2217,                0.91482,                0.86173,                0.91787,                0.67075,                0.97359,                0.72258,                 1.1375,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.0324,                0.92379,                 1.2235,                0.89725,                0.82936,                0.90318,                0.64883,                0.99704,                 0.7609,                 1.1499,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.9903,                0.84779,                 1.2023,                  0.945,                 0.8352,                0.92279,                0.68118,                0.94227,                0.67512,                 1.1129,             0.00067866,             0.00067866,             0.00067866
                      7,                 0.9855,                0.83198,                 1.1906,                0.91945,                0.82905,                0.90827,                0.67703,                0.92284,                0.73102,                 1.1163,             0.00067159,             0.00067159,             0.00067159
                      8,                0.95807,                0.76963,                  1.181,                0.93197,                0.87379,                0.92901,                0.70063,                0.90761,                0.61781,                 1.1137,             0.00066452,             0.00066452,             0.00066452
                      9,                0.97735,                0.78263,                 1.1854,                0.91954,                0.82467,                0.90591,                0.68309,                0.91017,                0.67657,                 1.1207,             0.00065745,             0.00065745,             0.00065745
                     10,                0.97812,                0.76487,                 1.1752,                0.91354,                0.83626,                0.91274,                0.67754,                0.91342,                0.69356,                 1.1267,             0.00065038,             0.00065038,             0.00065038
                     11,                0.92288,                0.73798,                 1.1712,                0.93672,                0.86406,                0.93428,                0.71324,                0.88965,                0.58595,                 1.1318,             0.00064331,             0.00064331,             0.00064331
                     12,                  0.903,                0.69071,                 1.1469,                0.94045,                0.87477,                0.93495,                0.70654,                0.87282,                0.57607,                 1.0992,             0.00063625,             0.00063625,             0.00063625
                     13,                0.92425,                0.69234,                  1.169,                0.93558,                0.85874,                0.92876,                0.70416,                0.88618,                 0.5874,                 1.1164,             0.00062918,             0.00062918,             0.00062918
                     14,                0.95247,                0.73084,                 1.1917,                0.94561,                0.85428,                0.93006,                0.70522,                0.88711,                0.58774,                  1.125,             0.00062211,             0.00062211,             0.00062211
                     15,                0.89423,                0.68764,                 1.1462,                0.95709,                0.86183,                0.93662,                0.71718,                0.87751,                0.56532,                 1.1174,             0.00061504,             0.00061504,             0.00061504
                     16,                0.87291,                0.64033,                 1.1348,                0.93783,                 0.8638,                 0.9306,                0.71823,                0.85985,                0.56824,                 1.1011,             0.00060797,             0.00060797,             0.00060797
                     17,                0.89141,                0.66645,                 1.1475,                0.94185,                0.87466,                0.93894,                0.71927,                0.88538,                0.57533,                 1.1072,              0.0006009,              0.0006009,              0.0006009
                     18,                0.88205,                0.66091,                 1.1415,                0.93713,                0.85754,                0.93164,                0.71754,                0.85908,                0.57147,                 1.1012,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.8917,                0.68536,                 1.1553,                0.92831,                0.87416,                0.93878,                0.71805,                0.86876,                0.55612,                 1.1135,             0.00058677,             0.00058677,             0.00058677
                     20,                0.87114,                 0.6493,                 1.1327,                0.93487,                0.84078,                0.91986,                 0.7169,                0.85599,                0.63863,                 1.0911,              0.0005797,              0.0005797,              0.0005797
                     21,                0.86373,                0.63416,                 1.1203,                0.90719,                0.86266,                0.92769,                 0.7148,                0.88008,                0.59633,                 1.0975,             0.00057263,             0.00057263,             0.00057263
                     22,                0.87016,                 0.6196,                  1.132,                0.93818,                0.87612,                0.94296,                0.73943,                0.82693,                0.52219,                 1.0901,             0.00056556,             0.00056556,             0.00056556
                     23,                0.83365,                0.62289,                 1.1059,                0.92379,                0.89164,                0.94119,                0.73531,                0.83948,                0.50988,                 1.0966,             0.00055849,             0.00055849,             0.00055849
                     24,                0.90442,                0.72205,                 1.1546,                0.94642,                0.86639,                0.93899,                0.73099,                 0.8406,                0.53644,                  1.066,             0.00055142,             0.00055142,             0.00055142
                     25,                0.85862,                0.63137,                 1.1123,                0.95435,                0.89535,                 0.9496,                0.74323,                0.84614,                0.49181,                 1.0799,             0.00054435,             0.00054435,             0.00054435
                     26,                0.85423,                0.62661,                 1.1276,                 0.9506,                0.86006,                0.93298,                0.71224,                0.87039,                 0.5825,                 1.1045,             0.00053728,             0.00053728,             0.00053728
