                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0012,                 1.6012,                  1.296,                 0.9381,                0.86073,                0.92388,                0.68845,                0.89329,                 1.1184,                 1.2493,              0.0002373,              0.0002373,              0.0002373
                      2,                  0.936,                 1.0181,                 1.2477,                0.93784,                0.86393,                0.92656,                0.69046,                0.89739,                0.69777,                 1.2475,              0.0004706,              0.0004706,              0.0004706
                      3,                0.96838,                0.90524,                 1.2398,                 0.8776,                0.78779,                0.86362,                0.61367,                 1.0684,                0.87082,                 1.4057,             0.00069918,             0.00069918,             0.00069918
                      4,                0.94613,                0.85013,                 1.2412,                0.86268,                0.78631,                0.87037,                0.62985,                 1.0517,                0.86861,                 1.3878,             0.00069279,             0.00069279,             0.00069279
                      5,                0.96599,                0.84529,                 1.2632,                0.88476,                  0.804,                0.87882,                0.64631,                 1.0039,                0.73854,                 1.3489,             0.00068573,             0.00068573,             0.00068573
                      6,                0.91649,                0.78684,                 1.2224,                 0.9064,                0.83857,                0.91839,                0.68211,                0.95694,                0.66258,                 1.2817,             0.00067866,             0.00067866,             0.00067866
                      7,                0.90723,                0.77203,                 1.2041,                 0.9344,                0.84544,                0.92303,                0.69557,                0.93577,                0.62697,                 1.2793,             0.00067159,             0.00067159,             0.00067159
                      8,                0.88041,                0.69316,                 1.2086,                0.93607,                0.86592,                0.93603,                0.71458,                0.87873,                0.53826,                 1.2439,             0.00066452,             0.00066452,             0.00066452
                      9,                0.92578,                0.73532,                 1.2163,                0.93714,                0.87523,                0.93958,                0.71573,                0.88848,                0.54496,                  1.242,             0.00065745,             0.00065745,             0.00065745
                     10,                0.91325,                0.72481,                 1.1928,                0.91476,                 0.8443,                0.91851,                0.70014,                0.87976,                0.63143,                 1.2288,             0.00065038,             0.00065038,             0.00065038
                     11,                0.87328,                0.69531,                 1.2015,                0.94061,                0.87007,                0.93695,                0.72631,                0.86159,                0.54117,                 1.2165,             0.00064331,             0.00064331,             0.00064331
                     12,                0.84776,                0.64031,                 1.1686,                0.92389,                0.88827,                0.93887,                0.72648,                0.86221,                0.54091,                 1.2083,             0.00063625,             0.00063625,             0.00063625
                     13,                0.84909,                0.65155,                 1.1821,                0.92373,                 0.8622,                0.92277,                0.71299,                0.88381,                0.60269,                 1.2304,             0.00062918,             0.00062918,             0.00062918
                     14,                0.87876,                0.67059,                 1.2063,                0.92592,                0.87523,                0.93707,                0.72193,                0.87886,                0.54873,                 1.2356,             0.00062211,             0.00062211,             0.00062211
                     15,                0.85179,                0.63014,                  1.171,                0.93392,                0.89199,                0.94508,                0.73134,                0.88678,                0.50675,                  1.236,             0.00061504,             0.00061504,             0.00061504
                     16,                0.81442,                0.60084,                 1.1477,                0.91968,                0.86887,                0.93091,                0.72012,                0.87076,                0.53561,                 1.2147,             0.00060797,             0.00060797,             0.00060797
                     17,                0.83697,                0.63356,                  1.166,                 0.9414,                0.83147,                 0.9238,                0.71103,                0.89217,                0.60307,                 1.2274,              0.0006009,              0.0006009,              0.0006009
                     18,                0.81551,                0.63482,                 1.1607,                0.93758,                0.87403,                0.94172,                0.73233,                0.85963,                0.50647,                 1.2146,             0.00059383,             0.00059383,             0.00059383
                     19,                  0.841,                0.66352,                 1.1805,                0.93565,                0.87323,                0.94049,                0.73501,                0.83447,                0.51361,                 1.1953,             0.00058677,             0.00058677,             0.00058677
                     20,                 0.7974,                0.60697,                 1.1373,                0.93834,                0.87142,                 0.9368,                0.72666,                0.86213,                0.53223,                 1.2075,              0.0005797,              0.0005797,              0.0005797
                     21,                0.81604,                0.61004,                 1.1416,                0.93437,                0.87477,                0.93952,                0.73281,                0.86083,                0.51133,                    1.2,             0.00057263,             0.00057263,             0.00057263
                     22,                0.81153,                0.58348,                 1.1432,                0.94144,                0.88966,                0.94597,                 0.7414,                0.83196,                0.47424,                 1.2019,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.7809,                0.58471,                 1.1229,                0.94741,                 0.8891,                0.94549,                0.74649,                0.82041,                0.48098,                 1.1916,             0.00055849,             0.00055849,             0.00055849
                     24,                0.84893,                0.69866,                 1.1869,                0.94506,                 0.8969,                0.94503,                0.72833,                 0.8625,                0.47148,                 1.2017,             0.00055142,             0.00055142,             0.00055142
                     25,                0.79787,                0.58172,                 1.1302,                0.95627,                0.89106,                0.95149,                0.75424,                0.80785,                0.44659,                  1.182,             0.00054435,             0.00054435,             0.00054435
                     26,                0.80487,                0.59554,                 1.1393,                0.94131,                 0.8878,                0.94799,                0.74314,                0.83414,                0.47782,                 1.1864,             0.00053728,             0.00053728,             0.00053728
                     27,                0.81952,                0.60578,                 1.1464,                0.95173,                0.90689,                0.94911,                0.74479,                0.83785,                0.44705,                 1.1872,             0.00053022,             0.00053022,             0.00053022
                     28,                0.79949,                0.54751,                 1.1442,                0.95135,                0.87396,                  0.936,                0.73386,                0.83496,                0.53089,                 1.1893,             0.00052315,             0.00052315,             0.00052315
                     29,                0.79098,                0.56789,                 1.1209,                0.92959,                0.88408,                0.94163,                0.73904,                0.85366,                0.48579,                 1.2028,             0.00051608,             0.00051608,             0.00051608
                     30,                0.78183,                0.59391,                  1.132,                0.93436,                0.88594,                0.94668,                0.74801,                0.80818,                0.47501,                 1.1752,             0.00050901,             0.00050901,             0.00050901
