                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7976,                 1.9893,                 1.4998,                0.85295,                 0.7907,                0.85343,                0.47583,                 1.4011,                 1.4727,                 1.2558,             0.00023671,             0.00023671,             0.00023671
                      2,                 1.5036,                 1.2827,                 1.2877,                0.81971,                0.86337,                0.83321,                0.49651,                 1.3954,                 1.2121,                 1.2248,             0.00047001,             0.00047001,             0.00047001
                      3,                 1.4856,                 1.0958,                 1.2725,                0.94276,                0.90971,                0.95639,                0.57692,                 1.3113,                0.86011,                 1.1785,             0.00069859,             0.00069859,             0.00069859
                      4,                 1.4688,                 1.0345,                 1.2448,                0.92705,                0.92354,                0.96565,                0.61724,                 1.3274,                0.77087,                 1.1834,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.4698,                0.96349,                 1.2765,                0.92762,                 0.9314,                0.96742,                 0.6289,                 1.2342,                0.69185,                 1.1167,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.4391,                0.89223,                 1.2618,                 0.9321,                0.91789,                0.96609,                0.63741,                 1.2071,                0.69413,                 1.1365,             0.00067866,             0.00067866,             0.00067866
                      7,                  1.406,                0.87009,                 1.2417,                0.91232,                0.90747,                0.97429,                0.64609,                 1.2134,                0.63536,                 1.1204,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.4044,                0.85131,                 1.2469,                0.94797,                0.95336,                0.97495,                0.67988,                 1.1597,                0.60367,                 1.1044,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3309,                0.76596,                 1.1841,                0.94151,                 0.9564,                0.98239,                0.65155,                 1.1917,                0.62217,                 1.1341,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.3035,                0.74959,                 1.1879,                  0.966,                 0.9564,                0.98214,                0.66512,                 1.2001,                0.59741,                 1.1279,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.3197,                0.75213,                 1.2011,                0.97612,                0.95048,                0.98349,                0.65885,                 1.2727,                 0.5682,                 1.1485,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.3443,                0.74524,                 1.1972,                0.97639,                0.96189,                0.98491,                0.65676,                 1.1817,                0.59015,                 1.1226,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.3581,                0.72804,                 1.2352,                 0.9709,                0.93895,                 0.9839,                0.67754,                 1.1501,                0.56424,                 1.1041,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.2636,                 0.6947,                  1.187,                0.95653,                 0.9596,                 0.9849,                0.67783,                 1.1393,                0.54068,                   1.09,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.2907,                 0.7098,                 1.1763,                0.98746,                 0.9564,                0.98826,                0.66993,                 1.1706,                0.53976,                 1.0966,             0.00061504,             0.00061504,             0.00061504
                     16,                  1.238,                 0.6625,                 1.1563,                0.98524,                0.97051,                0.98699,                0.67294,                 1.1874,                0.51903,                 1.0976,             0.00060797,             0.00060797,             0.00060797
                     17,                  1.242,                0.67157,                 1.1683,                0.97963,                0.97839,                 0.9929,                0.68047,                 1.1597,                0.51693,                 1.1063,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.2566,                0.68159,                 1.1752,                0.98498,                0.95302,                0.99184,                0.69357,                 1.1344,                0.50935,                 1.0997,             0.00059383,             0.00059383,             0.00059383
