                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.387,                 2.6149,                 1.6536,                0.83015,                0.23992,                 0.2964,                0.18149,                 1.2762,                 2.1749,                 1.6708,             0.00023478,             0.00023478,             0.00023478
                      2,                 1.3152,                 2.0963,                 1.6039,                0.43511,                0.42423,                0.47106,                0.25503,                 1.5125,                 1.9235,                  1.886,              0.0004681,              0.0004681,              0.0004681
                      3,                 1.2824,                 1.7848,                 1.5413,                0.61554,                0.49924,                0.54565,                0.27944,                 1.5062,                 2.0202,                 2.0354,             0.00069671,             0.00069671,             0.00069671
                      4,                 1.3614,                 1.7376,                 1.6126,                0.61518,                0.59112,                0.62098,                0.32049,                 1.4297,                 1.5859,                  1.779,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3354,                 1.6891,                 1.6146,                0.64405,                0.54081,                0.57574,                0.31821,                 1.3549,                 1.5809,                 1.7149,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.3544,                 1.6722,                 1.6278,                0.68516,                0.63386,                0.69312,                  0.387,                 1.3645,                 1.5265,                 1.6954,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.3127,                 1.5185,                 1.5906,                 0.6501,                0.58134,                0.64104,                0.37489,                 1.2683,                 1.3096,                 1.6493,             0.00067159,             0.00067159,             0.00067159
                      8,                  1.355,                 1.5664,                 1.6088,                0.66693,                0.63943,                 0.6718,                0.37277,                 1.2992,                 1.3041,                 1.6246,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3877,                 1.5755,                  1.629,                0.71988,                 0.6098,                0.68399,                 0.4034,                 1.2809,                 1.3882,                 1.6351,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2513,                 1.3377,                 1.5228,                 0.7518,                0.76412,                0.79871,                0.46978,                 1.1713,                 1.0727,                 1.4888,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.2369,                  1.252,                 1.4793,                0.78065,                 0.6836,                0.76304,                0.43646,                 1.2409,                 1.0814,                 1.5747,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.2694,                 1.3566,                 1.5506,                0.73156,                0.68789,                0.74896,                0.43449,                 1.2402,                 1.1372,                 1.5909,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.2713,                   1.29,                 1.5295,                0.82223,                0.70791,                0.78288,                0.46703,                 1.1797,                  1.051,                 1.5131,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.2448,                 1.2402,                 1.4986,                0.80977,                0.71964,                0.79354,                0.45855,                 1.1853,                 1.0138,                 1.5085,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.2771,                 1.2457,                  1.542,                0.79017,                0.72509,                0.77715,                0.48349,                 1.1436,                 0.9983,                 1.4711,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.1778,                 1.1635,                 1.4811,                0.81611,                0.75662,                0.82654,                0.49889,                 1.1619,                0.88221,                 1.4671,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1848,                 1.1401,                 1.4536,                0.80317,                0.77401,                0.81862,                0.50949,                 1.1116,                0.88692,                 1.4614,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1566,                 1.1262,                  1.454,                0.80627,                0.78727,                0.82476,                0.50238,                 1.1063,                0.88371,                 1.4418,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.1837,                 1.1019,                 1.4653,                0.79117,                0.79844,                0.85559,                0.52485,                 1.1359,                 0.8357,                   1.45,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.1577,                 1.1261,                 1.4613,                0.76882,                0.76008,                0.81625,                0.51934,                 1.0895,                0.88232,                 1.4151,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.1863,                  1.103,                 1.4703,                0.75221,                0.76113,                0.81969,                0.52075,                 1.1177,                 1.0133,                 1.4312,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.1095,                 1.0552,                 1.4017,                0.84685,                0.81233,                0.86196,                0.54503,                 1.0574,                0.78136,                 1.3821,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0978,                 1.0526,                 1.4196,                0.85427,                 0.7713,                0.86315,                0.53525,                 1.1032,                0.80779,                 1.4149,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.1254,                 1.0905,                 1.4062,                0.83574,                0.78622,                0.85656,                0.54622,                 1.0997,                0.81781,                 1.4238,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.1276,                 1.0579,                 1.4369,                0.82924,                0.74694,                0.80545,                 0.5262,                 1.1283,                0.84602,                 1.4635,             0.00054435,             0.00054435,             0.00054435
                     26,                  1.111,                0.99005,                 1.4477,                0.83656,                0.72594,                0.81639,                0.53254,                 1.0822,                0.81895,                 1.4043,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.1083,                0.92761,                  1.397,                0.84247,                0.74442,                0.84119,                0.53619,                 1.0896,                0.81509,                 1.4108,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.1356,                 1.0411,                  1.471,                0.78864,                   0.78,                 0.8185,                0.53468,                 1.0259,                0.77826,                 1.3597,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.1118,                 1.0378,                 1.4158,                0.81062,                0.78857,                0.84148,                0.55138,                 1.0367,                0.79812,                 1.3991,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.1517,                 0.9889,                 1.4374,                0.81859,                 0.8058,                0.84849,                0.56437,                 1.0169,                0.74939,                  1.359,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.1197,                 1.0078,                 1.4085,                0.81714,                0.76109,                0.83816,                 0.5505,                 1.0297,                0.74675,                 1.3606,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.0286,                0.92281,                 1.3946,                0.83548,                0.78247,                0.86366,                0.55305,                 1.0395,                0.76371,                  1.373,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0587,                0.90955,                 1.3606,                0.81868,                0.81892,                0.85394,                0.56603,                 1.0137,                0.82418,                 1.3688,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.0963,                0.94962,                 1.4354,                0.84466,                0.78394,                0.86969,                0.56636,                 1.0021,                 0.7176,                 1.3375,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.0851,                0.98989,                 1.4042,                0.85161,                0.80874,                0.85299,                 0.5511,                 1.0281,                0.75457,                  1.367,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.0477,                0.92402,                 1.3571,                0.83116,                0.81848,                0.86195,                0.56304,                 1.0253,                0.71437,                 1.3644,              0.0004666,              0.0004666,              0.0004666
                     37,                   1.01,                0.85448,                 1.3611,                0.81325,                0.78332,                0.83054,                0.53528,                 1.0385,                0.74878,                 1.3593,             0.00045953,             0.00045953,             0.00045953
                     38,                  1.064,                0.88395,                 1.3747,                0.81252,                0.79449,                0.83294,                0.54837,                 1.0293,                0.70807,                 1.3592,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.0042,                0.84939,                 1.3155,                0.82534,                0.82571,                0.85776,                0.56025,                 1.0318,                  0.693,                 1.3648,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.0384,                0.91638,                 1.3681,                0.81079,                 0.8119,                0.85523,                0.56575,                 1.0055,                0.69092,                 1.3196,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.0427,                0.90376,                 1.3752,                0.86421,                0.75195,                0.81581,                0.53884,                 1.0066,                0.71207,                 1.3446,             0.00043126,             0.00043126,             0.00043126
                     42,                0.97201,                0.86365,                  1.333,                 0.8102,                0.78757,                0.84787,                0.55409,                 1.0633,                0.71794,                 1.3689,             0.00042419,             0.00042419,             0.00042419
                     43,                  1.031,                0.84993,                 1.3746,                0.83614,                0.76564,                0.82052,                0.56224,                 1.0006,                0.68766,                 1.3261,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.0161,                0.82951,                 1.3608,                0.83491,                0.76132,                 0.8171,                0.54857,                 1.0044,                0.69435,                 1.3414,             0.00041005,             0.00041005,             0.00041005
                     45,                   1.02,                0.85446,                 1.3607,                0.85962,                0.78695,                0.84008,                0.56655,                0.96821,                 0.6631,                 1.3122,             0.00040298,             0.00040298,             0.00040298
                     46,                0.96435,                0.85382,                 1.3265,                0.86664,                0.75092,                0.83851,                0.56825,                0.99496,                0.68258,                 1.3237,             0.00039591,             0.00039591,             0.00039591
                     47,                0.97819,                0.81814,                 1.3342,                0.86894,                0.75934,                0.82437,                0.55116,                 1.0142,                0.67456,                 1.3267,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.0063,                0.87087,                 1.3679,                0.85483,                0.75934,                0.80833,                0.54953,                   0.99,                0.67921,                 1.3248,             0.00038178,             0.00038178,             0.00038178
                     49,                0.92403,                0.75841,                 1.3127,                0.86702,                0.74986,                0.80867,                0.54472,                0.99423,                0.67086,                 1.3155,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.0258,                0.88129,                 1.3702,                0.84674,                0.81471,                0.83521,                0.56255,                0.98433,                0.64925,                 1.3105,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.0186,                0.85393,                 1.3412,                0.84084,                0.80651,                0.83073,                0.56643,                0.95458,                 0.6616,                 1.2928,             0.00036057,             0.00036057,             0.00036057
                     52,                0.97317,                0.82441,                 1.3078,                 0.8412,                0.79182,                0.83348,                0.57766,                0.92727,                0.62237,                 1.2715,              0.0003535,              0.0003535,              0.0003535
                     53,                0.93256,                0.78027,                 1.3036,                0.82859,                0.79916,                0.83725,                0.57204,                0.94956,                0.61469,                 1.2834,             0.00034643,             0.00034643,             0.00034643
                     54,                0.90117,                0.72359,                 1.2757,                0.83716,                0.80189,                0.83927,                 0.5679,                0.92549,                 0.6305,                 1.2768,             0.00033936,             0.00033936,             0.00033936
                     55,                0.92231,                0.75444,                 1.2803,                0.85628,                0.75956,                0.82299,                0.56334,                 0.9297,                0.65668,                 1.2724,              0.0003323,              0.0003323,              0.0003323
                     56,                0.93692,                0.72516,                 1.2888,                0.79113,                0.78777,                0.83178,                0.57161,                0.92092,                0.65615,                 1.2587,             0.00032523,             0.00032523,             0.00032523
                     57,                0.95749,                0.77195,                 1.3091,                 0.8471,                0.76653,                0.78326,                0.54546,                 0.9435,                0.69785,                 1.2785,             0.00031816,             0.00031816,             0.00031816
                     58,                0.97873,                0.80296,                 1.2997,                0.81396,                0.79095,                0.80799,                0.54611,                0.94882,                0.67339,                 1.2942,             0.00031109,             0.00031109,             0.00031109
                     59,                  0.886,                0.69235,                 1.2649,                0.84135,                0.77677,                 0.8048,                0.54583,                0.95076,                0.66447,                 1.2795,             0.00030402,             0.00030402,             0.00030402
                     60,                0.92396,                0.75474,                 1.3038,                0.83414,                0.78216,                0.79084,                0.54845,                0.95158,                 0.6694,                 1.2841,             0.00029695,             0.00029695,             0.00029695
                     61,                 0.9613,                0.74569,                 1.3188,                0.87627,                0.77186,                0.80717,                 0.5589,                 0.9323,                0.66839,                  1.262,             0.00028988,             0.00028988,             0.00028988
                     62,                0.87419,                0.77692,                 1.2766,                0.87552,                0.76559,                0.81444,                0.57064,                0.92491,                0.63663,                 1.2741,             0.00028282,             0.00028282,             0.00028282
                     63,                0.94833,                0.76034,                  1.322,                0.85956,                0.77621,                0.81902,                0.55579,                0.95756,                0.63469,                  1.287,             0.00027575,             0.00027575,             0.00027575
                     64,                0.96309,                0.77216,                 1.2978,                 0.8595,                0.77876,                0.81117,                0.55846,                0.96519,                0.62883,                 1.2987,             0.00026868,             0.00026868,             0.00026868
                     65,                0.91452,                0.68361,                 1.2902,                0.87161,                0.75364,                0.80969,                0.55978,                0.94805,                0.64182,                 1.2842,             0.00026161,             0.00026161,             0.00026161
                     66,                0.91672,                0.76643,                 1.2975,                0.85121,                0.78002,                 0.8127,                 0.5636,                0.93236,                0.63588,                 1.2554,             0.00025454,             0.00025454,             0.00025454
                     67,                0.90073,                0.69274,                 1.2632,                0.83635,                0.79526,                0.82372,                0.56927,                0.92586,                0.62083,                 1.2647,             0.00024747,             0.00024747,             0.00024747
