                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3845,                 2.9848,                 1.4647,                0.18719,                0.20414,                0.11579,                0.06569,                 1.4597,                 2.4336,                  1.496,              0.0033279,              0.0033279,              0.0033279
                      2,                 1.3444,                 2.2861,                 1.4325,                0.20571,                0.25315,                0.17501,                0.10614,                 1.3522,                 1.9792,                 1.3648,              0.0065953,              0.0065953,              0.0065953
                      3,                 1.3376,                 2.1243,                 1.4001,                0.21193,                0.20796,                0.16763,                0.09657,                 1.4989,                 2.1999,                 1.4819,              0.0097967,              0.0097967,              0.0097967
                      4,                 1.3732,                 2.0286,                 1.4075,                0.25595,                0.29264,                0.20974,                0.12536,                 1.3405,                 2.0722,                 1.3523,               0.009703,               0.009703,               0.009703
                      5,                 1.3666,                 1.9301,                 1.4009,                0.27602,                0.27071,                0.21957,                0.13768,                 1.2849,                 1.8221,                 1.3249,               0.009604,               0.009604,               0.009604
                      6,                 1.3386,                 1.9023,                 1.3877,                 0.2935,                0.30014,                0.23777,                0.14906,                 1.3188,                 1.7233,                  1.317,               0.009505,               0.009505,               0.009505
                      7,                 1.3072,                 1.8186,                 1.3615,                0.31676,                0.26476,                0.24481,                0.15234,                 1.3034,                 1.7131,                 1.3386,               0.009406,               0.009406,               0.009406
                      8,                 1.3251,                 1.8222,                 1.3873,                0.33672,                0.28281,                0.26535,                0.16586,                 1.2742,                 1.5685,                 1.3173,               0.009307,               0.009307,               0.009307
                      9,                 1.2366,                 1.7352,                 1.3375,                0.33273,                0.30656,                0.26821,                0.17395,                 1.2471,                 1.5347,                 1.2921,               0.009208,               0.009208,               0.009208
                     10,                 1.2765,                 1.6949,                 1.3461,                0.37405,                0.30354,                 0.2988,                0.19026,                 1.2665,                  1.492,                 1.3035,               0.009109,               0.009109,               0.009109
                     11,                 1.2921,                 1.7343,                  1.365,                0.35101,                0.27346,                0.27527,                0.17597,                 1.2451,                 1.4996,                 1.2808,                0.00901,                0.00901,                0.00901
                     12,                 1.2924,                 1.6635,                 1.3533,                   0.36,                0.31363,                0.26415,                0.16747,                 1.2719,                 1.7128,                 1.2864,               0.008911,               0.008911,               0.008911
                     13,                 1.2131,                 1.6287,                  1.331,                0.38668,                0.29514,                0.29935,                0.18768,                 1.2292,                 1.5202,                 1.2574,               0.008812,               0.008812,               0.008812
                     14,                  1.221,                 1.6295,                  1.322,                0.37491,                0.31685,                0.31725,                0.20805,                 1.2107,                 1.4277,                 1.2482,               0.008713,               0.008713,               0.008713
                     15,                 1.2323,                 1.6223,                 1.3246,                0.41582,                0.31649,                0.32342,                0.21297,                 1.2069,                 1.3926,                  1.247,               0.008614,               0.008614,               0.008614
                     16,                 1.2418,                 1.5913,                 1.3314,                0.42052,                0.32682,                 0.3388,                  0.218,                  1.208,                 1.3775,                 1.2596,               0.008515,               0.008515,               0.008515
                     17,                  1.236,                 1.5857,                 1.3321,                0.44106,                0.34332,                0.34185,                0.21788,                 1.2047,                 1.4118,                 1.2508,               0.008416,               0.008416,               0.008416
                     18,                 1.2438,                 1.5616,                 1.3254,                0.42382,                0.33578,                0.34536,                0.22537,                 1.2051,                 1.3421,                 1.2354,               0.008317,               0.008317,               0.008317
                     19,                 1.2367,                 1.5311,                 1.3219,                0.40051,                0.34608,                0.33533,                0.22041,                 1.1942,                 1.4489,                 1.2388,               0.008218,               0.008218,               0.008218
                     20,                 1.2605,                 1.5367,                 1.3192,                 0.4583,                  0.321,                0.33496,                0.21715,                 1.2037,                 1.4183,                 1.2439,               0.008119,               0.008119,               0.008119
                     21,                 1.1576,                 1.5125,                 1.3037,                0.45913,                0.34702,                0.36428,                0.23851,                 1.1802,                 1.2738,                 1.2345,                0.00802,                0.00802,                0.00802
                     22,                 1.2557,                 1.4913,                  1.313,                0.42218,                0.33399,                0.34346,                 0.2272,                 1.1738,                 1.3352,                 1.2271,               0.007921,               0.007921,               0.007921
                     23,                 1.1964,                 1.4575,                 1.2952,                0.45009,                0.35893,                0.36452,                0.24043,                 1.1597,                 1.3099,                  1.216,               0.007822,               0.007822,               0.007822
                     24,                 1.2033,                 1.4743,                 1.2974,                0.47197,                0.36153,                0.37605,                0.25111,                 1.1659,                 1.2621,                 1.2096,               0.007723,               0.007723,               0.007723
                     25,                 1.2165,                 1.4819,                 1.3146,                0.44729,                0.36068,                0.36803,                0.24615,                 1.1487,                 1.2737,                 1.2065,               0.007624,               0.007624,               0.007624
                     26,                 1.1853,                 1.4371,                 1.2978,                0.43985,                0.36538,                0.36907,                0.24063,                  1.147,                 1.3118,                 1.2063,               0.007525,               0.007525,               0.007525
                     27,                 1.1485,                 1.4126,                  1.274,                0.45535,                0.36073,                0.37181,                0.24932,                 1.1676,                 1.3009,                 1.2101,               0.007426,               0.007426,               0.007426
                     28,                 1.1887,                 1.4658,                 1.2964,                0.46446,                0.35657,                0.37377,                0.24876,                 1.1475,                 1.2769,                 1.1961,               0.007327,               0.007327,               0.007327
                     29,                 1.1747,                 1.4306,                 1.2821,                0.46736,                0.36702,                0.37505,                0.25222,                 1.1367,                 1.2998,                 1.1939,               0.007228,               0.007228,               0.007228
                     30,                 1.1852,                 1.3838,                 1.2877,                0.47509,                0.38029,                0.39613,                0.26691,                  1.137,                 1.2515,                 1.1906,               0.007129,               0.007129,               0.007129
                     31,                 1.1764,                 1.4124,                  1.288,                0.45642,                0.37684,                0.38581,                0.26003,                 1.1251,                 1.2508,                  1.195,                0.00703,                0.00703,                0.00703
                     32,                 1.1637,                 1.3949,                 1.2839,                 0.4535,                0.38133,                0.37839,                0.25436,                 1.1203,                 1.2513,                 1.1802,               0.006931,               0.006931,               0.006931
                     33,                 1.1292,                  1.368,                 1.2768,                0.48473,                0.38008,                0.39336,                0.26771,                 1.1317,                 1.2227,                 1.1884,               0.006832,               0.006832,               0.006832
                     34,                 1.2215,                 1.4067,                 1.3084,                0.48022,                0.38792,                 0.4018,                0.27072,                 1.1301,                 1.1975,                   1.19,               0.006733,               0.006733,               0.006733
                     35,                 1.1292,                 1.3565,                 1.2632,                0.47949,                0.38277,                0.39759,                0.27037,                 1.1201,                 1.1987,                 1.1773,               0.006634,               0.006634,               0.006634
                     36,                 1.1591,                 1.3405,                 1.2709,                0.48774,                0.39426,                0.40564,                0.27236,                 1.1217,                 1.1857,                 1.1788,               0.006535,               0.006535,               0.006535
                     37,                 1.1481,                 1.3718,                 1.2651,                0.48701,                0.39277,                0.40934,                0.27587,                 1.1219,                 1.1583,                 1.1819,               0.006436,               0.006436,               0.006436
                     38,                 1.1628,                 1.3611,                   1.28,                0.49132,                0.38855,                 0.4133,                0.27946,                 1.1166,                 1.1773,                 1.1742,               0.006337,               0.006337,               0.006337
                     39,                 1.1263,                 1.3319,                  1.261,                0.51206,                0.38234,                0.42435,                0.28799,                 1.1053,                 1.1403,                 1.1601,               0.006238,               0.006238,               0.006238
                     40,                 1.1117,                 1.2999,                  1.258,                0.49154,                0.39685,                0.41286,                0.27672,                 1.1055,                 1.1735,                 1.1683,               0.006139,               0.006139,               0.006139
                     41,                 1.1104,                 1.3055,                 1.2644,                0.50616,                0.40815,                0.43157,                0.29013,                 1.1006,                 1.1517,                 1.1666,                0.00604,                0.00604,                0.00604
                     42,                 1.1205,                 1.2893,                 1.2467,                0.50142,                0.40202,                0.42505,                 0.2905,                 1.0899,                 1.1357,                 1.1583,               0.005941,               0.005941,               0.005941
                     43,                 1.1378,                 1.3117,                 1.2709,                0.50292,                0.39308,                0.42535,                 0.2883,                 1.1084,                 1.1403,                 1.1701,               0.005842,               0.005842,               0.005842
                     44,                 1.1318,                  1.291,                 1.2526,                0.50163,                0.40755,                0.42941,                0.29247,                 1.1043,                 1.1231,                 1.1614,               0.005743,               0.005743,               0.005743
                     45,                 1.1577,                 1.3164,                 1.2677,                0.49751,                0.40483,                 0.4265,                0.29079,                 1.0949,                 1.1334,                 1.1587,               0.005644,               0.005644,               0.005644
                     46,                 1.1323,                 1.3145,                 1.2655,                0.49513,                0.40314,                0.42797,                 0.2905,                 1.0989,                 1.1275,                 1.1552,               0.005545,               0.005545,               0.005545
                     47,                 1.0851,                 1.2673,                 1.2422,                0.52196,                0.40092,                0.43833,                0.29772,                  1.094,                 1.0897,                  1.157,               0.005446,               0.005446,               0.005446
                     48,                 1.1343,                 1.2926,                 1.2671,                0.50131,                0.40484,                 0.4285,                0.29293,                 1.0894,                 1.1118,                 1.1531,               0.005347,               0.005347,               0.005347
                     49,                 1.1231,                 1.2751,                 1.2524,                0.50983,                0.40113,                 0.4297,                0.29573,                  1.085,                 1.1257,                  1.153,               0.005248,               0.005248,               0.005248
                     50,                 1.1174,                 1.3069,                  1.251,                0.49868,                0.41628,                0.43328,                0.29482,                 1.0946,                 1.1126,                 1.1527,               0.005149,               0.005149,               0.005149
                     51,                 1.1142,                 1.3148,                 1.2647,                0.51178,                0.41945,                0.44353,                0.29923,                 1.1018,                 1.0938,                 1.1562,                0.00505,                0.00505,                0.00505
                     52,                 1.1095,                  1.246,                   1.25,                0.51896,                0.42002,                0.44671,                0.30406,                  1.095,                 1.0951,                 1.1564,               0.004951,               0.004951,               0.004951
                     53,                 1.1363,                 1.2537,                 1.2505,                0.51419,                   0.42,                0.43978,                0.30042,                 1.0833,                 1.0908,                 1.1543,               0.004852,               0.004852,               0.004852
                     54,                 1.1437,                 1.2501,                 1.2631,                 0.5124,                0.40977,                0.44074,                0.30116,                  1.084,                 1.0898,                  1.148,               0.004753,               0.004753,               0.004753
                     55,                 1.1049,                  1.228,                 1.2408,                0.51948,                0.40917,                 0.4311,                0.29698,                 1.0764,                 1.1133,                 1.1436,               0.004654,               0.004654,               0.004654
                     56,                 1.0835,                 1.2104,                 1.2358,                0.51546,                0.41457,                0.44375,                0.30416,                 1.0793,                 1.0797,                 1.1446,               0.004555,               0.004555,               0.004555
