                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99982,                0.61669,                 1.1306,                 0.8868,                0.84183,                0.88884,                0.62168,                 1.0313,                 0.5457,                 1.1545,             0.00023586,             0.00023586,             0.00023586
                      2,                 0.9772,                0.63042,                 1.1186,                 0.8226,                0.86878,                0.87279,                0.59243,                 1.0427,                0.57851,                 1.1697,             0.00046715,             0.00046715,             0.00046715
                      3,                0.94326,                0.62886,                  1.102,                0.80792,                0.83227,                0.82556,                0.56584,                 1.0525,                0.59662,                 1.1813,             0.00069172,             0.00069172,             0.00069172
                      4,                 1.0033,                0.64763,                 1.1177,                0.83704,                0.86931,                0.88552,                0.59673,                 1.0635,                 0.5922,                 1.1822,             0.00068371,             0.00068371,             0.00068371
                      5,                 1.0094,                0.70676,                 1.1168,                0.72084,                 0.8324,                0.82861,                0.56938,                 1.0559,                0.61804,                 1.1645,             0.00067361,             0.00067361,             0.00067361
                      6,                0.97718,                0.64639,                 1.1315,                0.82265,                0.85206,                0.88962,                0.61447,                 1.0433,                0.58088,                  1.178,             0.00066351,             0.00066351,             0.00066351
                      7,                0.98429,                0.69297,                 1.1087,                0.88281,                0.84195,                0.86653,                 0.5948,                 1.0488,                0.57508,                 1.1638,             0.00065341,             0.00065341,             0.00065341
                      8,                0.99253,                0.68025,                 1.1165,                0.85274,                0.86359,                0.88316,                 0.5936,                 1.0658,                0.56718,                 1.1845,             0.00064331,             0.00064331,             0.00064331
                      9,                 1.0274,                0.65198,                 1.1344,                0.74385,                 0.8689,                0.84828,                0.57167,                 1.0639,                0.56836,                 1.1965,             0.00063322,             0.00063322,             0.00063322
                     10,                0.97775,                0.63698,                 1.1169,                 0.8596,                0.84298,                0.86833,                0.60309,                 1.0275,                0.55837,                 1.1461,             0.00062312,             0.00062312,             0.00062312
                     11,                0.95354,                0.60536,                 1.1063,                0.75859,                 0.8371,                0.84058,                0.57944,                 1.0462,                  0.588,                 1.1592,             0.00061302,             0.00061302,             0.00061302
                     12,                 0.9541,                0.62754,                 1.1104,                0.86262,                 0.8409,                0.88754,                 0.6057,                 1.0435,                0.57535,                 1.1787,             0.00060292,             0.00060292,             0.00060292
                     13,                0.97276,                0.64013,                 1.1145,                0.83875,                0.82751,                 0.8571,                0.59056,                 1.0698,                0.57269,                 1.2016,             0.00059282,             0.00059282,             0.00059282
                     14,                0.98652,                0.66455,                 1.1202,                0.87671,                0.83631,                 0.8983,                 0.6104,                 1.0389,                0.56751,                 1.1773,             0.00058273,             0.00058273,             0.00058273
                     15,                0.95325,                0.62681,                 1.1157,                0.81274,                0.87342,                0.87028,                0.59698,                 1.0515,                0.56441,                 1.1824,             0.00057263,             0.00057263,             0.00057263
                     16,                0.91657,                0.58883,                 1.0947,                0.86329,                0.85679,                0.86641,                0.59128,                  1.061,                0.56222,                 1.1875,             0.00056253,             0.00056253,             0.00056253
                     17,                0.93603,                0.60269,                 1.1015,                0.79148,                0.86291,                0.86057,                0.58682,                 1.0564,                0.57448,                 1.1694,             0.00055243,             0.00055243,             0.00055243
                     18,                 0.9329,                0.59351,                 1.0811,                0.91107,                0.87795,                0.90852,                0.61786,                 1.0269,                0.52955,                 1.1766,             0.00054233,             0.00054233,             0.00054233
                     19,                0.99457,                0.64816,                 1.1338,                 0.8608,                0.86359,                0.89681,                0.61388,                 1.0365,                0.54915,                 1.1761,             0.00053224,             0.00053224,             0.00053224
                     20,                0.93514,                0.59344,                 1.1059,                0.89806,                0.84133,                0.88519,                0.58927,                 1.0525,                0.58012,                 1.1961,             0.00052214,             0.00052214,             0.00052214
                     21,                0.95135,                0.58204,                 1.0918,                0.77294,                0.82822,                0.83376,                0.57161,                 1.0355,                0.56934,                 1.1749,             0.00051204,             0.00051204,             0.00051204
                     22,                0.99709,                0.61289,                 1.1229,                0.74266,                0.87751,                0.81514,                0.54903,                 1.0535,                0.55731,                 1.1838,             0.00050194,             0.00050194,             0.00050194
                     23,                 0.9577,                0.57374,                 1.1223,                0.74122,                0.87111,                0.79579,                 0.5417,                 1.0402,                0.56208,                 1.1713,             0.00049184,             0.00049184,             0.00049184
                     24,                0.91955,                0.55615,                 1.0788,                0.78554,                0.90414,                 0.8931,                0.61127,                 1.0407,                0.54514,                 1.1698,             0.00048175,             0.00048175,             0.00048175
                     25,                0.96755,                0.63066,                 1.1018,                0.70943,                0.88062,                0.75357,                0.50846,                 1.0437,                0.62398,                 1.1867,             0.00047165,             0.00047165,             0.00047165
                     26,                0.93873,                0.58359,                 1.0879,                0.73191,                0.86876,                 0.8513,                0.58595,                 1.0447,                0.56966,                 1.1775,             0.00046155,             0.00046155,             0.00046155
                     27,                0.91163,                0.54854,                 1.0749,                0.71975,                0.88474,                0.79657,                0.55092,                 1.0494,                0.60667,                 1.1655,             0.00045145,             0.00045145,             0.00045145
                     28,                0.91021,                0.56041,                 1.1004,                0.71861,                0.86797,                0.77691,                0.54028,                 1.0339,                0.59006,                 1.1847,             0.00044135,             0.00044135,             0.00044135
                     29,                0.94194,                0.56678,                 1.0883,                0.76517,                 0.8554,                 0.8615,                0.61267,                 1.0215,                0.54021,                 1.1671,             0.00043126,             0.00043126,             0.00043126
                     30,                0.93911,                 0.5511,                 1.1056,                0.73842,                0.89817,                0.87949,                0.60233,                 1.0458,                0.55314,                 1.1704,             0.00042116,             0.00042116,             0.00042116
                     31,                 0.8896,                0.51441,                 1.0537,                0.75466,                0.85791,                 0.8448,                0.57484,                 1.0215,                 0.5607,                 1.1575,             0.00041106,             0.00041106,             0.00041106
                     32,                0.89461,                 0.5694,                  1.092,                0.76794,                0.87632,                0.82464,                 0.5718,                  1.016,                0.53138,                 1.1612,             0.00040096,             0.00040096,             0.00040096
                     33,                0.90663,                0.53685,                 1.0779,                0.84899,                0.87001,                0.87126,                0.60174,                 1.0465,                0.52597,                 1.1974,             0.00039086,             0.00039086,             0.00039086
                     34,                0.93341,                0.57154,                 1.1113,                0.75025,                0.90807,                0.87639,                0.61574,                  1.026,                0.52384,                 1.1705,             0.00038077,             0.00038077,             0.00038077
                     35,                0.90106,                0.59695,                 1.0876,                0.89402,                 0.8955,                0.91316,                0.63872,                 1.0283,                0.51593,                 1.1766,             0.00037067,             0.00037067,             0.00037067
                     36,                0.87641,                 0.5461,                 1.0574,                0.86959,                0.90754,                0.89901,                0.63131,                 1.0282,                0.52908,                 1.1719,             0.00036057,             0.00036057,             0.00036057
                     37,                0.90128,                0.55686,                 1.0911,                0.86142,                0.88884,                0.89685,                  0.636,                 1.0213,                 0.5162,                 1.1509,             0.00035047,             0.00035047,             0.00035047
                     38,                0.89095,                0.54937,                 1.0781,                 0.8229,                0.87845,                0.89117,                  0.631,                 1.0298,                0.52165,                 1.1657,             0.00034037,             0.00034037,             0.00034037
                     39,                0.94103,                0.54907,                 1.0762,                0.82686,                  0.913,                0.90594,                 0.6419,                  1.025,                0.52287,                 1.1757,             0.00033028,             0.00033028,             0.00033028
                     40,                0.93834,                0.54362,                 1.1016,                0.89176,                 0.9011,                 0.9075,                0.64384,                  1.025,                0.52678,                 1.1732,             0.00032018,             0.00032018,             0.00032018
                     41,                0.90181,                0.56318,                 1.0797,                0.85107,                0.89997,                0.90089,                0.63333,                 1.0328,                0.52116,                 1.1695,             0.00031008,             0.00031008,             0.00031008
                     42,                0.89616,                0.55751,                 1.1029,                0.86318,                0.90668,                0.90364,                0.64182,                 1.0186,                0.50202,                  1.168,             0.00029998,             0.00029998,             0.00029998
                     43,                0.92124,                0.55363,                 1.0697,                0.86281,                 0.8726,                0.89814,                0.63238,                 1.0102,                0.51592,                   1.16,             0.00028988,             0.00028988,             0.00028988
                     44,                0.86407,                0.55792,                 1.0601,                0.72588,                0.88152,                0.80885,                 0.5606,                 1.0113,                0.62514,                 1.1518,             0.00027979,             0.00027979,             0.00027979
                     45,                0.90149,                0.53577,                 1.0719,                0.79477,                0.87319,                0.88862,                0.63399,                 1.0049,                0.52357,                 1.1543,             0.00026969,             0.00026969,             0.00026969
                     46,                0.93674,                0.60119,                 1.0992,                0.82737,                0.87118,                0.88968,                0.63016,                 1.0065,                0.52082,                 1.1586,             0.00025959,             0.00025959,             0.00025959
                     47,                0.92131,                 0.5751,                 1.1129,                0.84601,                0.86398,                0.89332,                0.62468,                 1.0078,                0.52504,                 1.1575,             0.00024949,             0.00024949,             0.00024949
                     48,                0.89349,                0.52274,                 1.0713,                0.86591,                0.86366,                0.89996,                0.63233,                 1.0128,                0.51486,                 1.1665,             0.00023939,             0.00023939,             0.00023939
                     49,                0.90383,                0.55208,                 1.0699,                0.90162,                0.87537,                0.90499,                0.63987,                 1.0127,                 0.5101,                 1.1731,              0.0002293,              0.0002293,              0.0002293
                     50,                0.90669,                0.56077,                 1.0825,                0.84112,                0.86335,                0.88872,                0.63018,                 1.0126,                0.51559,                 1.1626,              0.0002192,              0.0002192,              0.0002192
                     51,                0.87431,                 0.5352,                 1.0743,                0.84893,                0.88148,                0.90207,                0.62978,                 1.0167,                0.50985,                 1.1699,              0.0002091,              0.0002091,              0.0002091
                     52,                0.90371,                0.52798,                 1.0928,                0.89955,                0.87167,                0.89645,                0.63328,                 1.0055,                0.49754,                 1.1735,               0.000199,               0.000199,               0.000199
